-0.003350244543400755 + 0.0im,0.0007464374038584442 + 0.0im
-0.0016242664823128727 + 0.0im,0.0003618879877351328 + 0.0im
-0.001564529886641121 + 0.0im,0.0003485786221616867 + 0.0im
-0.0006990345875577197 + 0.0im,-0.0031374858769239503 + 0.0im
-9.639151059149552e-5 + 0.0im,-0.00043263524941276394 + 0.0im
-0.0005592249878476201 + 0.0im,-0.0025099766629930894 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
3.863106450811343e-5 + 0.0im,-3.243936176968899e-5 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im
