-3.1415926535897607 + 0.0im,-314.1592653589793 + 0.0im,3921.9908169872024 + 0.0im,11.652894743433366 + 0.0im,291.32236858583667 + 0.0im,-366.08648519025684 + 0.0im,-160.74049753139212 + 0.0im,-1009.9999999999915 + 0.0im,314.1592653589793 + 0.0im,9.999999999999915 + 0.0im,999.9999999999915 + 0.0im,-9.860761315262563e-31 + 0.0im,-9.860761315262563e-29 + 0.0im,3926.9908169872015 + 0.0im,-3.8723119133539056e-28 + 0.0im
314.1592653589793 + 0.0im,-3.1415926535897607 + 0.0im,11.652894743433366 + 0.0im,3931.990816987202 + 0.0im,125.00000000000003 + 0.0im,-157.07963267948963 + 0.0im,-3562.47512812374 + 0.0im,-314.1592653589793 + 0.0im,-1009.9999999999915 + 0.0im,9.860761315262563e-31 + 0.0im,9.860761315262563e-29 + 0.0im,9.999999999999915 + 0.0im,999.9999999999915 + 0.0im,3.8723119133539056e-28 + 0.0im,3926.9908169872015 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,-10000.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,9.86076154485139e-28 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-10000.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,10000.000000000002 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,502.6548245743669 + 0.0im,-502.6548245743669 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-31.830988618379067 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-250.00000000000009 + 0.0im,314.1592653589793 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
10000.0 + 0.0im,9.860761315262648e-28 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,11652.894743433464 + 0.0im,-10000.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-9.860761315262648e-28 + 0.0im,10000.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,4999.999999999999 + 0.0im,0.0 + 0.0im,-10000.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,15.91549430918954 + 0.0im,-20.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-2.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,-4.999999999999999 + 0.0im,11.652894743433462 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-10.000000000000002 + 0.0im,9.860761315262648e-31 + 0.0im,10.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-20.0 + 0.0im,1.972152263052529e-30 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-2.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,11.652894743433462 + 0.0im,4.999999999999999 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-9.860761315262648e-31 + 0.0im,-10.000000000000002 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,10.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,-0.003999999999999999 + 0.0im,0.009322315794746771 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-0.808 + 0.0im,7.888609052210118e-34 + 0.0im,0.008 + 0.0im,0.8 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.009322315794746771 + 0.0im,0.003999999999999999 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-7.888609052210118e-34 + 0.0im,-0.808 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.008 + 0.0im,0.8 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
