-1713.8926921288444 + 0.0im,-91.57254700631852 + 0.0im,-27.266720380212327 + 0.0im
129.03977748215752 + 0.0im,-25.990693885668144 + 0.0im,62.06028931784484 + 0.0im
-4.3091063701522145 + 0.0im,-26.404695995782184 + 0.0im,-69.1124586846973 + 0.0im
-65.952868028784 + 0.0im,-62.91193959680728 + 0.0im,28.60309121635883 + 0.0im
4127.426356373759 + 0.0im,-26.774192456097136 + 0.0im,69.26280222046195 + 0.0im
9.705817290224752 + 0.0im,-9.086687240748974 + 0.0im,0.07326667557991094 + 0.0im
-0.9985796571149238 + 0.0im,0.07326667557991094 + 0.0im,-9.965887347707907 + 0.0im
0.12633434417652256 + 0.0im,9.139815011236798e-21 + 0.0im,6.426687972142314e-20 + 0.0im
-0.3223593104472756 + 0.0im,-5.874537470279904e-20 + 0.0im,1.1016013104229813e-20 + 0.0im
10.117043244912818 + 0.0im,-9.329634061568584 + 0.0im,1.7782260722739907 + 0.0im
-0.661008637057366 + 0.0im,1.4777275962944703 + 0.0im,10.206087949842184 + 0.0im
9.825070742744538 + 0.0im,-9.304592521903624 + 0.0im,-1.6279768342842307 + 0.0im
-0.0 + 0.0im,1.2035228924279268e-19 + 0.0im,-12.5664 + 0.0im
0.0 + 0.0im,8.424640546521199e-19 + 0.0im,-87.96459430051422 + 0.0im
-0.0 + 0.0im,-18.84954 + 0.0im,-3.1415900000000003 + 0.0im
-0.0 + 0.0im,3.1415900000000003 + 0.0im,-18.84954 + 0.0im
0.0 + 0.0im,-31.365924 + 0.0im,-5.227654000000001 + 0.0im
-0.0 + 0.0im,-5.227654000000001 + 0.0im,31.365924 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
