-74.41049650523142 - 0.014992315491685016im,-1767.240310030055 - 0.02438200780521563im,10.40917556090336 + 0.0026846986756555546im,74.41049674893809 + 0.004366126849184647im
-74.41049648334172 - 0.01520108959394797im,-1767.2403099459818 - 0.024721537115230317im,10.40917555698353 + 0.002722084198836424im,74.41049673388291 + 0.004426926943456583im
-74.41049646083813 - 0.015412770960621405im,-1767.240309859551 - 0.025065794505630522im,10.409175552953783 + 0.002759990330662252im,74.41049671840575 + 0.004488573703754721im
-74.41049643770356 - 0.01562740007654503im,-1767.2403097706983 - 0.025414845816710403im,10.409175548811026 + 0.002798424320820519im,74.41049670249458 + 0.004551078920246101im
-74.41049641391997 - 0.015845017990326206im,-1767.24030967935 - 0.02576875780560867im,10.409175544552074 + 0.0028373935199535365im,74.4104966861369 + 0.00461445454728007im
-74.4104963894695 - 0.016065666322190912im,-1767.2403095854418 - 0.026127598159077232im,10.409175540173692 + 0.002876905381064319im,74.41049666932072 + 0.004678712705675169im
-74.41049636433344 - 0.016289387271943588im,-1767.240309488903 - 0.026491435506427154im,10.409175535672528 + 0.002916967460941965im,74.41049665203327 + 0.004743865685037023im
-74.41049633849235 - 0.016516223627037887im,-1767.240309389655 - 0.02686033943265125im,10.409175531045118 + 0.002957587421606931im,74.41049663426061 + 0.004809925946108849im
-74.4104963119265 - 0.016746218770760362im,-1767.2403092876214 - 0.027234380491738715im,10.409175526287934 + 0.0029987730317764523im,74.41049661598949 + 0.004876906123155081im
-74.41049628461566 - 0.016979416690527268im,-1767.2403091827282 - 0.027613630220160244im,10.40917552139733 + 0.0030405321683502993im,74.41049659720593 + 0.00494481902637699im
-74.4104962565387 - 0.01721586198629733im,-1767.240309074888 - 0.027998161150550645im,10.409175516369558 + 0.0030828728179172634im,74.41049657789517 + 0.005013677644362495im
-74.41049622767467 - 0.017455599879102113im,-1767.2403089640313 - 0.02838804682559062im,10.409175511200818 + 0.0031258030782826845im,74.41049655804369 + 0.005083495146572166im
-74.41049619800091 - 0.01769867621969381im,-1767.2403088500612 - 0.02878336181205318im,10.409175505887102 + 0.0031693311600170587im,74.41049653763503 + 0.0051542848858546556im
-74.41049616749513 - 0.017945137497315397im,-1767.2403087328983 - 0.02918418171508255im,10.409175500424373 + 0.0032134653880264894im,74.41049651665435 + 0.005226060401003746im
-74.41049613613382 - 0.018195030848591073im,-1767.2403086124489 - 0.02959058319264151im,10.40917549480845 + 0.0032582142031447434im,74.41049649508525 + 0.0052988354193455696im
-74.41049610389283 - 0.018448404066541555im,-1767.2403084886184 - 0.030002643970174905im,10.409175489035004 + 0.0033035861637476273im,74.41049647291074 + 0.005372623859364536im
-74.41049607074791 - 0.018705305609725033im,-1767.2403083613192 - 0.03042044285548044im,10.409175483099672 + 0.003349589947389858im,74.41049645011488 + 0.005447439833366188im
-74.41049603667318 - 0.01896578461150439im,-1767.2403082304463 - 0.03084405975377329im,10.409175476997863 + 0.003396234352464592im,74.41049642667943 + 0.005523297650175148im
-74.41049600164291 - 0.019229890889444493im,-1767.2403080959048 - 0.03127357568296392im,10.409175470724932 + 0.0034435282998861783im,74.41049640258672 + 0.0056002118178711795im
-74.4104959656302 - 0.019497674954840095im,-1767.2403079575877 - 0.03170907278916694im,10.409175464276087 + 0.003491480834796379im,74.41049637781835 + 0.005678197046566171im
-74.41049592860757 - 0.01976918802237601im,-1767.2403078153932 - 0.032150634362396985im,10.409175457646386 + 0.003540101128294188im,74.41049635235545 + 0.0057572682512151176im
-74.41049589054656 - 0.020044482019922264im,-1767.2403076692087 - 0.03259834485250475im,10.40917545083074 + 0.003589398479189903im,74.41049632617806 + 0.005837440554470026im
-74.41049585141836 - 0.02032360959846545im,-1767.2403075189302 - 0.03305228988532504im,10.409175443823978 + 0.0036393823157835374im,74.41049629926727 + 0.0059187292895716im
-74.41049581119267 - 0.020606624142178287im,-1767.2403073644348 - 0.03351255627905178im,10.409175436620703 + 0.0036900621976679927im,74.41049627160153 + 0.006001150003281521im
-74.41049576983892 - 0.02089357977862984im,-1767.240307205605 - 0.033979232060846354im,10.409175429215416 + 0.003741447817557425im,74.41049624315966 + 0.006084718458857104im
-74.41049572732528 - 0.021184531389137215im,-1767.2403070423209 - 0.0344524064836643im,10.409175421602438 + 0.0037935490031409456im,74.41049621392021 + 0.006169450639064274im
-74.41049568361942 - 0.021479534619262268im,-1767.2403068744582 - 0.034932170043333384im,10.409175413775959 + 0.0038463757189622686im,74.4104961838608 + 0.006255362749235999im
-74.41049563868795 - 0.021778645889453448im,-1767.2403067018881 - 0.035418614495850216im,10.409175405729991 + 0.0038999380683253817im,74.41049615295827 + 0.006342471220369859im
-74.41049559249636 - 0.02208192240583682im,-1767.2403065244805 - 0.035911832874937384im,10.409175397458391 + 0.003954246295226926im,74.41049612118958 + 0.006430792712272181im
