5.6179282875974765 + 0.002108322167489252im,-39.7991735745066 + 0.003858659786848787im,18.180856140917978 + 0.007768885879531294im,8.914109218240489 + 0.008396708497962825im
5.617928211967324 + 0.002137682325780216im,-39.79917105692137 + 0.0039122984922338325im,18.180855843385384 + 0.007877074803792im,8.91411110426573 + 0.008513559812710987im
5.6179281342170135 + 0.002167451374915092im,-39.799168468910324 + 0.003966680132667281im,18.180855537509185 + 0.00798677047331764im,8.914113043031023 + 0.008632035103761553im
5.61792805428609 + 0.0021976350104806358im,-39.79916580851112 + 0.0040218148846257835im,18.180855223055513 + 0.008097993877327238im,8.914115036007377 + 0.008752156849340822im
5.617927972113911 + 0.002228239007492156im,-39.799163073701536 + 0.004077713059003609im,18.180854899783284 + 0.008210766297697271im,8.914117084705083 + 0.008873947834996313im
5.617927887637322 + 0.0022592692214139353im,-39.799160262410076 + 0.004134385103008022im,18.180854567446197 + 0.008325109312943097im,8.914119190678685 + 0.008997431157528773im
5.617927800792254 + 0.002290731589369515im,-39.79915737250081 + 0.004191841601494231im,18.180854225789492 + 0.008441044802397319im,8.914121355522637 + 0.009122630229165856im
5.617927711511699 + 0.0023226321311836007im,-39.79915440178349 + 0.004250093278640158im,18.180853874551467 + 0.008558594950434036im,8.91412358087816 + 0.009249568781652883im
5.617927619727959 + 0.002354976950652883im,-39.79915134800413 + 0.0043091509994857774im,18.1808535134643 + 0.008677782250757722im,8.914125868430077 + 0.009378270870438311im
5.6179275253702805 + 0.002387772236580503im,-39.79914820884803 + 0.004369025771745052im,18.180853142251244 + 0.00879862951058474im,8.914128219911131 + 0.009508760878845066im
5.617927428366892 + 0.0024210242641222006im,-39.79914498193663 + 0.004429728747155471im,18.18085276062849 + 0.008921159855193492im,8.914130637101405 + 0.009641063522463451im
5.6179273286431535 + 0.0024547393958704398im,-39.799141664823914 + 0.004491271223265048im,18.180852368304407 + 0.009045396732298953im,8.914133121829847 + 0.009775203853344263im
5.617927226122911 + 0.002488924083085282im,-39.79913825499809 + 0.0045536646451107094im,18.180851964978544 + 0.009171363916490802im,8.914135675977287 + 0.00991120726438685im
5.617927120728766 + 0.002523584867053833im,-39.79913474987539 + 0.004616920606418229im,18.180851550342634 + 0.009299085514037998im,8.914138301474225 + 0.010049099493898733im
5.617927012378586 + 0.0025587283801528967im,-39.79913114680227 + 0.00468105085214083im,18.18085112407961 + 0.009428585967143363im,8.914141000306506 + 0.010188906629743618im
5.6179269009906205 + 0.0025943613472901254im,-39.79912744305332 + 0.0047460672791165455im,18.180850685863447 + 0.009559890059005578im,8.914143774514246 + 0.010330655114179446im
5.617926786479366 + 0.0026304905871326195im,-39.799123635823435 + 0.0048119819382714145im,18.18085023535848 + 0.009693022918432936im,8.914146626192357 + 0.010474371748225615im
5.617926668757002 + 0.0026671230133824527im,-39.79911972223535 + 0.00487880703630852im,18.180849772220984 + 0.009828010024613145im,8.914149557495652 + 0.010620083696275148im
5.617926547733842 + 0.0027042656361914896im,-39.79911569932773 + 0.004946554936942548im,18.180849296096234 + 0.009964877212177963im,8.914152570637617 + 0.010767818490856871im
