-25.219235503225562 - 0.054284661589747076im,-226.0297666587966 - 0.034330003084079984im,44.752832318926984 + 0.11409921382209895im,37.18854815926999 + 0.07113523304575192im
-25.21923543481687 - 0.05466113401237045im,-226.0297676738688 - 0.034568079871016025im,44.752832166025534 + 0.1148905088925182im,37.188549993252536 + 0.0716285620151411im
-25.21923536545611 - 0.05504021733110151im,-226.0297687030686 - 0.034807807605920914im,44.75283201099598 + 0.11568729171340877im,37.18855185276092 + 0.07212531220031951im
-25.21923529512988 - 0.05542192965501534im,-226.02976974659248 - 0.035049197747158284im,44.75283185380863 + 0.11648960034346255im,37.188553738150425 + 0.0726255073280504im
-25.21923522382492 - 0.05580628921406404im,-226.02977080464015 - 0.03529226180457612im,44.75283169443351 + 0.11729747310456633im,37.18855564978139 + 0.07312917128483043im
-25.219235151527503 - 0.05619331437012924im,-226.02977187741345 - 0.035537011400632805im,44.752831532840126 + 0.11811094858531775im,37.188557588018845 + 0.07363632812825058im
-25.219235078223765 - 0.0565830236094736im,-226.02977296511713 - 0.035783458220709864im,44.75283136899762 + 0.1189300656414938im,37.1885595532332 + 0.07414700207982898im
-25.219235003899865 - 0.0569754355438379im,-226.02977406795986 - 0.03603161401486865im,44.75283120287474 + 0.1197548633977558im,37.188561545800006 + 0.07466121752618615im
-25.21923492854144 - 0.05737056892061342im,-226.02977518615134 - 0.03628149065340528im,44.752831034439666 + 0.12058538125121805im,37.188563566099894 + 0.0751789990296787im
-25.21923485213423 - 0.057768442610058084im,-226.02977631990572 - 0.03653310004675186im,44.75283086366027 + 0.12142165887110672im,37.18856561451881 + 0.0757003713157274im
-25.21923477466352 - 0.058169075620599225im,-226.0297774694395 - 0.036786454231304666im,44.75283069050386 + 0.12226373620295859im,37.18856769144814 + 0.07622535928858153im
-25.21923469611461 - 0.058572487084000105im,-226.0297786349722 - 0.037041565275843916im,44.75283051493747 + 0.1231116534679586im,37.18856979728472 + 0.07675398801654137im
-25.219234616472395 - 0.05897869627268537im,-226.0297798167266 - 0.03729844538073215im,44.752830336927445 + 0.12396545116737843im,37.18857193243091 + 0.07728628274979792im
-25.219234535721707 - 0.05938772259081826im,-226.0297810149283 - 0.03755710681907962im,44.75283015643979 + 0.12482517008327089im,37.18857409729454 + 0.07782226891167718im
-25.21923445384717 - 0.05979958556983574im,-226.02978222980647 - 0.03781756190588568im,44.752829973440086 + 0.12569085127918803im,37.18857629228935 + 0.07836197209433225im
