0.03596717305303024 + 0.0022683941102928816im,-4.2322680964181265e-9 - 1.5845161498751378e-8im,1.7605183630614237e-13 + 6.230221256582583e-13im,-0.03599999437809034 + 8.927324556503081e-8im
0.035966585495477564 + 0.002289520791767236im,-4.387933182028106e-9 - 1.627300533804865e-8im,1.8592082728720347e-13 + 6.517026319239188e-13im,-0.035999994165575824 + 9.177605411022184e-8im
0.03596598784585138 + 0.002310846244806865im,-4.549261662249536e-9 - 1.6712092504110332e-8im,1.9634030767062487e-13 + 6.816898260388369e-13im,-0.03599999394500575 + 9.434900048386321e-8im
0.03596537994607597 + 0.002332372389484783im,-4.7164561602542814e-9 - 1.7162704245075852e-8im,2.073407790504546e-13 + 7.130423531935133e-13im,-0.03599999371607367 + 9.699404834098883e-8im
0.03596476163614832 + 0.0023541011655353232im,-4.889726361225944e-9 - 1.7625128189692785e-8im,2.1895441785934718e-13 + 7.45821432852123e-13im,-0.03599999347846131 + 9.971321619084164e-8im
0.03596413275413504 + 0.0023760345325744858im,-5.069289248309936e-9 - 1.8099658461487617e-8im,2.312151662143926e-13 + 7.800909680114238e-13im,-0.03599999323183833 + 1.0250857892434969e-7im
0.03596349313616998 + 0.0023981744703227997im,-5.25536934589668e-9 - 1.8586595793472357e-8im,2.4415882761763195e-13 + 8.159176588855374e-13im,-0.03599999297586166 + 1.0538226938499099e-7im
0.03596284261645296 + 0.0024205229788307287im,-5.448198970436869e-9 - 1.9086247643293706e-8im,2.5782316773319784e-13 + 8.533711210674179e-13im,-0.03599999271017518 + 1.0833647997478509e-7im
0.035962181027249386 + 0.0024430820787066532im,-5.648018488992178e-9 - 1.9598928308752336e-8im,2.7224802054662967e-13 + 8.925240084848187e-13im,-0.035999992434409045 + 1.1137346431122495e-7im
0.03596150819889083 + 0.0024658538113473977im,-5.8550765857247335e-9 - 2.0124959043567864e-8im,2.8747540014925483e-13 + 9.334521411785443e-13im,-0.03599999214817938 + 1.144955389247523e-7im
0.03596082395977694 + 0.002488840239171387im,-6.069630536537414e-9 - 2.0664668173304096e-8im,3.0354961847585156e-13 + 9.76234638222602e-13im,-0.03599999185108753 + 1.1770508500907896e-7im
0.035960128136377924 + 0.0025120434458543303im,-6.291946492075722e-9 - 2.1218391211333758e-8im,3.2051740925154905e-13 + 1.0209540557764065e-12im,-0.03599999154271958 + 1.210045502069809e-7im
0.035959420553238766 + 0.00253546553656759im,-6.522299769310955e-9 - 2.1786470974718543e-8im,3.384280585463701e-13 + 1.067696530719197e-12im,-0.035999991222645744 + 1.2439645046302367e-7im
0.03595870103298416 + 0.0025591086382191082im,-6.7609751519203755e-9 - 2.236925769989047e-8im,3.573335421981612e-13 + 1.1165519297970062e-12im,-0.035999990890419865 + 1.2788337191274106e-7im
0.035957969396324924 + 0.002582974899696993im,-7.00826719969562e-9 - 2.2967109157997176e-8im,3.7728867049988593e-13 + 1.1676140046005538e-12im,-0.03599999054557858 + 1.314679728270087e-7im
0.0359572254620656 + 0.0026070664921157244im,-7.264480567197444e-9 - 2.3580390769752757e-8im,3.983512405282464e-13 + 1.220980552610552e-12im,-0.03599999018764081 + 1.351529856129428e-7im
0.03595646904711344 + 0.0026313856090650002im,-7.529930331895654e-9 - 2.4209475719682686e-8im,4.20582196479547e-13 + 1.2767535844137306e-12im,-0.03599998981610704 + 1.3894121886374302e-7im
0.03595569996648868 + 0.002655934466861242im,-7.804942332022808e-9 - 2.485474506955474e-8im,4.440457984588766e-13 + 1.3350394974228625e-12im,-0.03599998943045858 + 1.4283555947335813e-7im
0.03595491803333625 + 0.0026807153048017205im,-8.089853514380558e-9 - 2.5516587870878546e-8im,4.688098001009756e-13 + 1.3959492561505345e-12im,-0.03599998903015687 + 1.468389747958854e-7im
0.03595412305893903 + 0.0027057303854213653im,-8.385012292338874e-9 - 2.619540127625806e-8im,4.949456355483733e-13 + 1.4595985794913966e-12im,-0.035999988614642674 + 1.5095451487770446e-7im
0.035953314852732496 + 0.002730981994752198im,-8.690778914270499e-9 - 2.689159064944374e-8im,5.225286161752169e-13 + 1.5261081349686922e-12im,-0.03599998818333531 + 1.5518531473694405e-7im
0.03595249322232103 + 0.002756472442585439im,-9.007525842666164e-9 - 2.7605569673861813e-8im,5.516381376310616e-13 + 1.5956037404129253e-12im,-0.03599998773563179 + 1.5953459671591828e-7im
0.03595165797349597 + 0.0027822040627362545im,-9.335638144178253e-9 - 2.833776045944006e-8im,5.82357897683997e-13 + 1.668216573195024e-12im,-0.03599998727090598 + 1.6400567289126402e-7im
0.0359508089102549 + 0.0028081792133111323im,-9.67551389084684e-9 - 2.908859364749797e-8im,6.147761254059716e-13 + 1.74408338722657e-12im,-0.03599998678850776 + 1.686019475502266e-7im
0.03594994583482319 + 0.0028344002769779253im,-1.0027564572753343e-8 - 2.985850851348517e-8im,6.489858223089836e-13 + 1.8233467380929104e-12im,-0.035999986287761944 + 1.7332691973666736e-7im
0.035949068547677 + 0.0028608696612385104im,-1.0392215522368318e-8 - 3.064795306732462e-8im,6.850850159816568e-13 + 1.9061552164159882e-12im,-0.0359999857679675 + 1.7818418585836208e-7im
0.035948176847568215 + 0.002887589798704069im,-1.0769906350836566e-8 - 3.145738415112083e-8im,7.231770269273643e-13 + 1.992663689914797e-12im,-0.03599998522839642 + 1.8317744237975384e-7im
0.035947270531551265 + 0.002914563147372994im,-1.1161091396470297e-8 - 3.228726753396571e-8im,7.633707491624395e-13 + 2.0830335541210408e-12im,-0.03599998466829273 + 1.8831048856720878e-7im
0.03594634939501177 + 0.0029417921909113505im,-1.1566240185700684e-8 - 3.3138078003565195e-8im,8.057809453703309e-13 + 2.1774329923384234e-12im,-0.035999984086871405 + 1.9358722932333805e-7im
0.035945413231697525 + 0.002969279438935999im,-1.1985837906753387e-8 - 3.4010299454422804e-8im,8.505285572840236e-13 + 2.276037244937259e-12im,-0.035999983483317205 + 1.990116780963606e-7im
0.03594446183375112 + 0.002997027427300205im,-1.2420385896308293e-8 - 3.490442497225599e-8im,8.977410320264738e-13 + 2.37902888821032e-12im,-0.03599998285678361 + 2.0458795985664726e-7im
0.0359434949917449 + 0.003025038718381828im,-1.2870402139404594e-8 - 3.582095691435292e-8im,9.47552665276229e-13 + 2.486598123243626e-12im,-0.0359999822063915 + 2.103203141658691e-7im
0.03594251249471816 + 0.0030533159013740427im,-1.333642178285409e-8 - 3.676040698553926e-8im,1.0001049620256654e-12 + 2.598943074910649e-12im,-0.03599998153122791 + 2.1621309832046993e-7im
0.03594151413021634 + 0.003081861592578537im,-1.3818997662423215e-8 - 3.772329630941137e-8im,1.0555470158387774e-12 + 2.7162701013892233e-12im,-0.0359999808303448 + 2.2227079058284639e-7im
0.03594049968433274 + 0.0031106784357012008im,-1.431870084404871e-8 - 3.871015549449383e-8im,1.1140359074988741e-12 + 2.8387941144156257e-12im,-0.03599998010275765 + 2.2849799349630131e-7im
0.035939468941752414 + 0.003139769102150255im,-1.4836121179338527e-8 - 3.97215246949382e-8im,1.1757371240196417e-12 + 2.9667389106004113e-12im,-0.03599997934744401 + 2.3489943729171647e-7im
0.035938421685798534 + 0.0031691362913367667im,-1.5371867875629303e-8 - 4.0757953665404144e-8im,1.2408249989896078e-12 + 3.1003375140622286e-12im,-0.03599997856334212 + 2.4147998338033e-7im
0.03593735769848118 + 0.0031987827309775943im,-1.592657008084389e-8 - 4.182000180968809e-8im,1.3094831753074188e-12 + 3.2398325306779674e-12im,-0.03599997774934928 + 2.4824462793920586e-7im
0.03593627676054873 + 0.0032287111774006103im,-1.650087748341485e-8 - 4.290823822272267e-8im,1.3819050914545107e-12 + 3.3854765143607757e-12im,-0.03599997690432036 + 2.5519850560452894e-7im
0.03593517865154167 + 0.0032589244158522756im,-1.7095460927517237e-8 - 4.402324172549474e-8im,1.4582944923014038e-12 + 3.537532345348353e-12im,-0.03599997602706612 + 2.6234689323891435e-7im
