0.3690243862750577 - 0.18898488993109241im,-0.2431984901971535 - 0.09487205081752204im,-0.1609503446486421 - 0.062210658438416im,-0.25164601833134426 - 0.1090106565476516im,0.3810201848164452 - 0.18384498167977023im,-0.2516460369093823 - 0.1090102036383264im,-0.1609503702341457 - 0.06221019548873821im,-0.243198473306777 - 0.09487253318200603im,0.36902438186651854 - 0.18898486736362566im
0.3681888741849444 - 0.18935256949075663im,-0.24382689958121131 - 0.09469847761284449im,-0.161478135803615 - 0.0618925214047429im,-0.2523183408099353 - 0.10889551394201442im,0.38017472294331545 - 0.18412488731417798im,-0.2523183595906693 - 0.10889505817740353im,-0.16147816168382723 - 0.06189205552378617im,-0.2438268825103402 - 0.09469896302838611im,0.3681888697328046 - 0.18935254676516225im
0.36735091294170613 - 0.18971944381318037im,-0.2444554654845414 - 0.09452173545394349im,-0.16200535276351377 - 0.061570778920620385im,-0.2529910783841964 - 0.10877736148350678im,0.3793272240339741 - 0.18440358977373789im,-0.25299109736954417 - 0.10877690284504142im,-0.16200537894222045 - 0.061570310088885596im,-0.2444554482323225 - 0.09452222394036926im,0.36735090844393287 - 0.18971942092749472im
0.3665104990071695 - 0.19008550251461684im,-0.24508417282409964 - 0.0943418129135645im,-0.16253197607561126 - 0.06124542154976087im,-0.2536642170983621 - 0.10865618743832255im,0.3784776871063684 - 0.18468107986875096im,-0.253664236290339 - 0.10865572590736913im,-0.16253200255561268 - 0.061244949747786756im,-0.24508415538847542 - 0.09434230449114668im,0.36651049446433914 - 0.19008547946801302im
0.3656676288520856 - 0.19045073511903138im,-0.2457130064373369 - 0.09415869859324084im,-0.16305798621827405 - 0.06091643993109978im,-0.2543377429188401 - 0.10853198009391539im,0.37762611116618394 - 0.18495734833340213im,-0.254337762319456 - 0.10853151565159712im,-0.16305801300286746 - 0.06091596513927874im,-0.24571298881682474 - 0.09415919328222835im,0.36566762426345667 - 0.19045071191002413im
0.36482229895200463 - 0.19081513105494077im,-0.2463419510843162 - 0.09397238112340499im,-0.16358336360330916 - 0.06058382477896721im,-0.25501164173343116 - 0.10840472775943259im,0.37677249520829337 - 0.18523238582542934im,-0.2550116613448549 - 0.1084042603868333im,-0.1635833906954721 - 0.06058334697751768im,-0.24634193327709553 - 0.09397287894427479im,0.36482229431741386 - 0.19081510768243726im
0.3639745057890658 - 0.19117867965572266im,-0.24697099144742393 - 0.09378284916387332im,-0.16410808857639242 - 0.060247566883501164im,-0.25568589935061387 - 0.1082744187666948im,0.3759168382200123 - 0.18550618292627372im,-0.25568591917480393 - 0.10827394844471765im,-0.16410811597933136 - 0.06024708605255301im,-0.24697097345176625 - 0.09378335013724774im,0.3639745011084394 - 0.19117865611850274im
0.36312424585513237 - 0.19154137015947112im,-0.247600112130453 - 0.09359009140463202im,-0.16463214141703292 - 0.05990765711130653im,-0.25636050150149664 - 0.10814104146993851im,0.37505913917557276 - 0.18577873013765822im,-0.25636052154062083 - 0.10814056817936783im,-0.16463216913432224 - 0.05990717323068411im,-0.2476000939451577 - 0.09359059555110333im,0.36312424112690517 - 0.19154134645579762im
0.3622715156493627 - 0.19190319170736886im,-0.2482292976599784 - 0.0933940965660652im,-0.1651555023405001 - 0.059564086405557194im,-0.25703543383703364 - 0.10800458424719571im,0.3741993970447489 - 0.18605001788425096im,-0.25703545409312334 - 0.10800410796872666im,-0.16515553037523295 - 0.05956359945509929im,-0.24822927928309688 - 0.09339460390659235im,0.3622715108737472 - 0.1919031678362004im
0.3614163116820947 - 0.19226413334416237im,-0.2488585324840539 - 0.09319485339969287im,-0.16567815149717513 - 0.059216845786733634im,-0.25771068193011065 - 0.10786503550024441im,0.3733376107868217 - 0.1863200365097576im,-0.2577107024052913 - 0.10786455621439671im,-0.16567817985280073 - 0.059216355746056416im,-0.24885851391416994 - 0.09319536395523645im,0.36141630685818893 - 0.19226410930393084im
0.36055863047258574 - 0.19262418401634945im,-0.24948780097409534 - 0.09299235068835593im,-0.1662000689749566 - 0.05886592635264868im,-0.25838623127510596 - 0.10772238365522561im,0.3724737793537024 - 0.1865887762774205im,-0.2583862519714942 - 0.1077219013423608im,-0.166200097654474 - 0.058865433201326076im,-0.2494877822090417 - 0.09299286448018342im,0.36055862560093827 - 0.19262415980611294im
0.35969846855283627 - 0.1929833325728363im,-0.2501170874231475 - 0.09278657724707591im,-0.1667212347984243 - 0.0585113192791517im,-0.2590620672877143 - 0.10757661716318025im,0.3716079016900464 - 0.18685622736877996im,-0.25906208820744225 - 0.10757613180361394im,-0.16672126380528882 - 0.058510822996505896im,-0.25011706846136506 - 0.09278709429647969im,0.35969846363279534 - 0.19298330819115528im
0.3588358224672816 - 0.19334156776379652im,-0.2507463760466084 - 0.09257752192349786im,-0.16724162893035793 - 0.0581530158203338im,-0.25973817530441623 - 0.10742772450077083im,0.3707399767352656 - 0.18712237988337194im,-0.2597381964497076 - 0.10742723607456471im,-0.16724165826809048 - 0.058152516385552765im,-0.25074635688667835 - 0.09257804225186277im,0.35883581749774196 - 0.1933415432090499im
0.3579706887731834 - 0.19369887824006415im,-0.2513756509826993 - 0.09236517359822861im,-0.16776123127230433 - 0.05779100730894503im,-0.2604145405835877 - 0.10727569417045413im,0.3698700034218725 - 0.18738722383704712im,-0.26041456195653345 - 0.10727520265764838im,-0.1677612609442187 - 0.05779050470107324im,-0.25137563162269805 - 0.0923656972272581im,0.3579706837542896 - 0.1936988535110903im
0.35710306404273984 - 0.19405525255305373im,-0.2520048962920731 - 0.09214952118552165im,-0.16828002166552045 - 0.057425285156673764im,-0.2610911483047913 - 0.10712051470131902im,0.3689979806777721 - 0.18765074916177557im,-0.26109116990759274 - 0.10712002008174361im,-0.16828005167511753 - 0.057424779354630834im,-0.2520048767303164 - 0.09215004813694766im,0.3571030589739142 - 0.19405522764842206im
0.356232944863775 - 0.19441067915405033im,-0.25263409595775943 - 0.09193055363384933im,-0.1687979798912035 - 0.05705584085460242im,-0.2617679835690882 - 0.10696217464938922im,0.3681239074257402 - 0.18791294570424885im,-0.26176800540403206 - 0.10696167690271272im,-0.16879801024182206 - 0.05705533183718703im,-0.2526340761925626 - 0.09193108392959995im,0.35623293974448883 - 0.19441065407230915im
0.35536032783812177 - 0.1947651463927762im,-0.25326323388657446 - 0.09170825992603446im,-0.16931508567228845 - 0.05668266597328385im,-0.2624450313986932 - 0.10680066259833362im,0.3672477825855375 - 0.18817380322574823im,-0.26244505346796304 - 0.10680016170416279im,-0.16931511636762483 - 0.05668215371900683im,-0.2532632139163565 - 0.0917087935881461im,0.35536032266763784 - 0.19476512113240366im
0.3544852095871556 - 0.19511864251880243im,-0.253892293907085 - 0.09148262908037018im,-0.1698313186728551 - 0.05630575216335463im,-0.26312227673748273 - 0.10663596715991064im,0.3663696050735775 - 0.1884333114008244im,-0.26312229904326717 - 0.10663546309765429im,-0.16983134971617425 - 0.056305236650766206im,-0.25389227372973605 - 0.09148316613117342im,0.3544852043659124 - 0.1951186170786882im
0.3536075867487608 - 0.1954711556793599im,-0.2545212597717414 - 0.09125365015059513im,-0.17034665850018849 - 0.055925091155540285im,-0.2637997044514458 - 0.10646807697430448im,0.36548937380222135 - 0.18869145981593768im,-0.26379972699602794 - 0.10646756972325123im,-0.17034668989518606 - 0.05592457236287876im,-0.25452123938579413 - 0.09125419061241603im,0.35360758147564686 - 0.19547113005781297im
0.3527274559813303 - 0.19582267392020036im,-0.2551501151553725 - 0.09102131222683293im,-0.17086108470419467 - 0.055540674761282535im,-0.2644772993267295 - 0.10629698071127949im,0.36460708768497696 - 0.188948237970477im,-0.2644773221124038 - 0.10629647025057817im,-0.17086111645458443 - 0.0555401526666392im,-0.25515009455925824 - 0.09102185612213977im,0.3527274506555653 - 0.19582264811562938im
0.3518448139617395 - 0.19617318518397397im,-0.25577884365678016 - 0.0907856044357345im,-0.17137457677964402 - 0.055152494872546025im,-0.26515504607323964 - 0.10612266706975158im,0.36372274563033413 - 0.18920363527310402im,-0.26515506910221964 - 0.1061221533783967im,-0.1713746088887423 - 0.05515196945398119im,-0.2557788228483136 - 0.09078615178737066im,0.35184480858387285 - 0.19617315919531503im
0.3509596573888956 - 0.196522677310691im,-0.25640742879767064 - 0.0905465159413293im,-0.17188711416571564 - 0.05476054346248737im,-0.26583292932054686 - 0.10594512477937242im,0.36283634654989216 - 0.1894576410440311im,-0.26583295259523454 - 0.10594460783619415im,-0.17188714663710034 - 0.05476001469783983im,-0.2564074077751414 - 0.09054706677215178im,0.35095965195825285 - 0.19652265113637152im
0.3500719829834193 - 0.19687113803700249im,-0.2570358540233959 - 0.09030403594537645im,-0.17239867624737396 - 0.054364812585511235im,-0.26651093362115214 - 0.10576434260032257im,0.3619478893543455 - 0.1897102445122393im,-0.26651095714372397 - 0.10576382238405128im,-0.1723987090852147 - 0.05436428045231127im,-0.2570358327855561 - 0.09030459027827464im,0.35007197749858737 - 0.19687111167512006im
0.3491817874883215 - 0.1972185549955529im,-0.25766410270330276 - 0.09005815368785137im,-0.172909242356316 - 0.05396529437741932im,-0.2671890434492597 - 0.10558030932411139im,0.3610573729550328 - 0.1899614348150458im,-0.26718906722211794 - 0.10557978581330613im,-0.17290927556395974 - 0.05396475885322543im,-0.2576640812479729 - 0.0900587115461033im,0.3491817819496354 - 0.19721852844494242im
0.3482890676718223 - 0.19756491571541737im,-0.25829215812985507 - 0.08980885844768532im,-0.17341879177096328 - 0.05356198105582365im,-0.26786724320190053 - 0.10539301377391193im,0.360164796264027 - 0.19021120099694763im,-0.26786726722741083 - 0.10539248694694542im,-0.17341882535227848 - 0.05356144211796107im,-0.25829213645550897 - 0.08980941985460418im,0.34828906207833255 - 0.19756488897433747im
0.3473938203250476 - 0.1979102076202648im,-0.25892000352065725 - 0.08955613954284632im,-0.1739273037183172 - 0.053154864920141626im,-0.26854551719638214 - 0.10520244480572968im,0.35927015819939623 - 0.19045953201087681im,-0.2685455414767922 - 0.10520191464091744im,-0.17392733767681837 - 0.0531543225458313im,-0.2589199816251549 - 0.08955670452203598im,0.3473938146771745 - 0.19791018068756855im
0.34649604226751235 - 0.1982544180300484im,-0.25954762201611403 - 0.08929998633151165im,-0.17443475737340625 - 0.0527439383520174im,-0.26922384967356155 - 0.10500859130817268im,0.35837345767977946 - 0.19070641671468905im,-0.26922387421132987 - 0.10500805778359526im,-0.1744347917129471 - 0.0527433925182219im,-0.2595475998977547 - 0.08930055490662954im,0.3464960365645386 - 0.19825439090404479im
0.34559573034427066 - 0.19859753415891876im,-0.260174996681774 - 0.08904038821200466im,-0.17494113186139987 - 0.052329193815258246im,-0.269902224796487 - 0.10481144220334017im,0.3574746936288281 - 0.1909518438719967im,-0.2699022495940344 - 0.10481090529696638im,-0.17494116658584202 - 0.05232864449882097im,-0.260174974338947 - 0.08904096040684481im,0.3455957245852889 - 0.19859750683789978im
0.34469288142817844 - 0.198939543115544im,-0.2608021105078835 - 0.08877733462347434im,-0.175446406257663 - 0.05191062385608943im,-0.2705806266505366 - 0.10461098644740399im,0.3565738649749721 - 0.1911958021510571im,-0.2705806517102017 - 0.10461044613702596im,-0.17544644137077392 - 0.05191007103370726im,-0.260802087938645 - 0.08877791046211075im,0.3446928756131356 - 0.19893951559807052im
0.3437874924217033 - 0.19928043190311712im,-0.2614289464087078 - 0.08851081504664168im,-0.17595055958847197 - 0.0514882211033491im,-0.27125903924341677 - 0.10440721303111213im,0.3556709706533191 - 0.19143828012424227im,-0.27125906456763466 - 0.10440666929437216im,-0.17595059509412486 - 0.05148766475151959im,-0.26142892361126985 - 0.08851139455326373im,0.34378748655015623 - 0.19928040418758228im
0.3428795602583471 - 0.19962018741910645im,-0.2620554872233354 - 0.08824081900419468im,-0.17645357083167604 - 0.051061978268702575im,-0.2719374465059952 - 0.10420011098019688im,0.35476600960441895 - 0.19167926626675597im,-0.27193747209725033 - 0.10419956379459021im,-0.17645360673388236 - 0.051061418363710476im,-0.2620554641961184 - 0.08824140220308285im,0.34287955432928796 - 0.19962015950373227im
0.34196908189960823 - 0.1999587964535768im,-0.2626817157169855 - 0.08796733606094488im,-0.17695541891874175 - 0.05063188814630883im,-0.2726158322916537 - 0.10398966935611im,0.3538589807775715 - 0.19191874895670552im,-0.272615858152357 - 0.10398911869899229im,-0.17695545522156245 - 0.05063132466428492im,-0.2626816924582943 - 0.08796792297662544im,0.34196907591235426 - 0.19995876833666112im
0.3410560543412803 - 0.20029624569096866im,-0.2633076145795078 - 0.0876903558248181im,-0.1774560827338296 - 0.05019794361348394im,-0.27329418037688874 - 0.10377587725647437im,0.3529498831296315 - 0.19215671647366314im,-0.27329420650951564 - 0.10377532310500498im,-0.17745611944091794 - 0.0501973765305058im,-0.2633075910871624 - 0.08769094648206396im,0.3410560482961719 - 0.20029621737113823im
0.3401404746127076 - 0.20063252170898666im,-0.2639331664255751 - 0.08740986794742557im,-0.17795554111496611 - 0.04976013763062946im,-0.27397247446134415 - 0.10355872381555348im,0.35203871562729994 - 0.19239315699845083im,-0.27397250086836056 - 0.10355816614678823im,-0.17795557823065455 - 0.0497595669223915im,-0.263933142698213 - 0.08741046237101883im,0.34014046850835106 - 0.2006324931842859im
0.33922233977541133 - 0.2009676109778115im,-0.26455835379687387 - 0.08712586212394942im,-0.17845377285597264 - 0.0493184632409929im,-0.27465069816856 - 0.10333819820479516im,0.3511254772460506 - 0.19262805861176407im,-0.27465072485241143 - 0.10333763699558257im,-0.17845381038368763 - 0.049317888883338996im,-0.264558329831918 - 0.08712646033915573im,0.33922233361297516 - 0.2009675822471609im
0.3383016469282383 - 0.20130149986107726im,-0.26518315915975244 - 0.08683832809445041im,-0.1789507567055 - 0.048872913571264734im,-0.27532883504430217 - 0.10311428963368356im,0.35021016697492746 - 0.19286140929500833im,-0.27532886200758944 - 0.10311372486073125im,-0.17895079464982172 - 0.04887233553946857im,-0.2651831349561624 - 0.08683893012627888im,0.338301640705534 - 0.20130147092216985im
0.33737839320365093 - 0.20163417461423558im,-0.2658075649080085 - 0.08654725564358133im,-0.1794464713695176 - 0.04842348183105338im,-0.2760068685594881 - 0.10288698734967652im,0.3492927838121299 - 0.19309319692746404im,-0.2760068958047089 - 0.1028864189895345im,-0.17944650973421247 - 0.04842290010046776im,-0.26580754046355554 - 0.0865478615175583im,0.33737838692112015 - 0.20163414546574215im
0.33645257577438664 - 0.2019656213863493im,-0.26643155336035246 - 0.08625263460192804im,-0.1799408955101605 - 0.047970161313523815im,-0.27668478210782665 - 0.1026562806393764im,0.3483733267708503 - 0.19332340928769817im,-0.2766848096375224 - 0.10265570866840128im,-0.17994093429953634 - 0.047969575859197866im,-0.26643152867347386 - 0.08625324434356563im,0.33645256943098284 - 0.20196559202632752im
0.3355241918488089 - 0.20229582621781078im,-0.26705510676348765 - 0.08595445484568934im,-0.18043400774847712 - 0.04751294539485885im,-0.27736255900782536 - 0.10242215882853303im,0.34745179487660316 - 0.19355203405139937im,-0.27736258682457476 - 0.10242158322296102im,-0.18043404696645857 - 0.047512356191769474im,-0.26705508183211657 - 0.08595506848083413im,0.3355241854446121 - 0.2022957966447753im
0.3345932386766029 - 0.20262477504202725im,-0.2676782072898246 - 0.08565270629791773im,-0.18092578666346473 - 0.04705182753472486im,-0.27804018250134077 - 0.10218461128310784im,0.34652818717173195 - 0.19377905879225918im,-0.27804021060767725 - 0.10218403201898543im,-0.18092582631468693 - 0.0470512345574936im,-0.26767818211272676 - 0.0856533238523531im,0.33459323220986914 - 0.2026247452536898im
0.3336597135449597 - 0.20295245368336942im,-0.26830083704039087 - 0.0853473789282368im,-0.18141621079452908 - 0.04658680127580695im,-0.2787176357560785 - 0.10194362740908909im,0.3456025027111067 - 0.19400447097909118im,-0.27871766415453275 - 0.10194304446231467im,-0.18141625088266577 - 0.04658620449911462im,-0.2683008116150595 - 0.0853480004282998im,0.33365970701671327 - 0.20295242367856667im
0.33272361378538395 - 0.2032788478594016im,-0.26892297804214554 - 0.08503846275417878im,-0.18190525864031273 - 0.04611786024431222im,-0.27939490186292865 - 0.10169919665386909im,0.3446747405697016 - 0.1942282579780709im,-0.27939493055612263 - 0.10169861000015176im,-0.18190529916986523 - 0.04611725964246235im,-0.26892295236714564 - 0.08503908822608261im,0.33272360719430594 - 0.20327881763605585im
0.3317849367704479 - 0.20360394317909714im,-0.26954461225030657 - 0.08472594784111699im,-0.18239290866073551 - 0.04564499814960139im,-0.2800719638389179 - 0.10145130850598198im,0.3437448998372862 - 0.19445040704950184im,-0.2800719928294685 - 0.1014507181208699im,-0.18239294963587033 - 0.045644393696786426im,-0.2695445863237035 - 0.08472657731138687im,0.33178493011626525 - 0.20360391273548314im
0.3308436799162366 - 0.20392772514329727im,-0.27016572154799745 - 0.08440982430288403im,-0.1828791392773121 - 0.04516820878422795im,-0.280748804625159 - 0.10119995249627314im,0.3428129796243695 - 0.1946709053492257im,-0.28074883391576044 - 0.10119935835514342im,-0.18287918070196357 - 0.045167600454546875im,-0.27016569536761703 - 0.08441045779831417im,0.3308436731992143 - 0.20392769447792297im
0.3298998406834249 - 0.2042501791447925im,-0.27078628774654867 - 0.08409008230236256im,-0.18336392887402184 - 0.0446874860238897im,-0.28142540708917885 - 0.10094511819787079im,0.34187897905968545 - 0.1948897399268514im,-0.28142543668236963 - 0.10094452027594344im,-0.18336397075321506 - 0.044686873790946026im,-0.2707862613113526 - 0.08409071984962649im,0.32989983390139505 - 0.2042501482551475im
0.32895341657699556 - 0.20457129046764966im,-0.27140629258615345 - 0.08376671205169937im,-0.18384725579816746 - 0.04420282382726564im,-0.28210175402338433 - 0.10068679522713102im,0.3409428972930768 - 0.19510689772555453im,-0.2821017839219056 - 0.10068619349942748im,-0.18384729813568915 - 0.044202207664806724im,-0.27140626589376926 - 0.08376735367802392im,0.3289534097306375 - 0.20457125935237522im
0.328004405150003 - 0.20489104428834407im,-0.2720257177351433 - 0.0834397038132294im,-0.18432909836031447 - 0.04371421623619017im,-0.2827778281459045 - 0.10042497324405207im,0.3400047334970242 - 0.19532236558221358im,-0.2827778583524027 - 0.1004243676854352im,-0.18432914116070537 - 0.04371359611760039im,-0.2720256907838968 - 0.08344034954584824im,0.32800439823847916 - 0.20489101294545192im
0.32705280400263437 - 0.20520942567505449im,-0.2726445447910416 - 0.08310904789965184im,-0.1848094348357096 - 0.04322165737536747im,-0.28345361210199893 - 0.10015964195242107im,0.3390644868645204 - 0.19553613022524516im,-0.28345364261910366 - 0.10015903253757233im,-0.18480947810347662 - 0.043221033273845175im,-0.27264451757924435 - 0.08310969776596096im,0.3270527970252592 - 0.20520939410256933im
0.32609861078392327 - 0.2055264195877917im,-0.2732627552807107 - 0.08277473467458102im,-0.18528824346457543 - 0.04272514145235485im,-0.2841290884623049 - 0.09989079110087974im,0.33812215661370504 - 0.19574817827582922im,-0.28412911929274426 - 0.09989017780432417im,-0.18528828720411966 - 0.042724513340926855im,-0.27326272780655575 - 0.0827753887022421im,0.3260986037401393 - 0.20552638778381216im
0.3251418231903309 - 0.20584201087762347im,-0.27388033066145673 - 0.08243675455279058im,-0.18576550245383594 - 0.04222466275716419im,-0.28480423972394564 - 0.09961841048325705im,0.33717774198859185 - 0.19595849624709807im,-0.28480427087041726 - 0.09961779327935089im,-0.1857655466694093 - 0.04222403060872344im,-0.27388030292286386 - 0.08243741276972394im,0.32514181608020654 - 0.20584197884047378im
0.3241824389714219 - 0.206156184288567im,-0.2744972523196227 - 0.08209509800113803im,-0.18624118997597314 - 0.0417202156626528im,-0.28547904831245957 - 0.099342489938579im,0.336231242255143 - 0.1961670705417033im,-0.28547907977770115 - 0.09934186880144613im,-0.18624123467211615 - 0.041719579449843516im,-0.2744972243148515 - 0.08209576043537944im,0.32418243179433526 - 0.2061561520162441im
0.32322045592672477 - 0.2064689244559437im,-0.2751135015724072 - 0.08174975553866606im,-0.18671528417137573 - 0.041211794623921744im,-0.28615349657847666 - 0.09906301935254015im,0.3352826567113274 - 0.19637388745510223im,-0.2861535283651657 - 0.09906239425619007im,-0.186715329352838 - 0.04121115431907434im,-0.2751134732999131 - 0.08175042221836543im,0.3232204486816039 - 0.2064688919462999im
0.3222558719091069 - 0.206780215907428im,-0.2757290596672961 - 0.0814007177372509im,-0.1871877631478654 - 0.040699394178464826im,-0.2868275668018947 - 0.09877998865694591im,0.3343319846783036 - 0.19657893317092992im,-0.286827598912876 - 0.09877935957514357im,-0.18718780881884345 - 0.04069874975393615im,-0.27572903112492475 - 0.08140138869094513im,0.3222558645961541 - 0.20678018315877522im
0.32128868482483364 - 0.20709004306284806im,-0.2763439077828481 - 0.08104797522197582im,-0.1876586049819389 - 0.04018300894585444im,-0.28750124118963466 - 0.09849338783092831im,0.33337922550861776 - 0.19678219376361716im,-0.2875012736276431 - 0.09849275473731567im,-0.18765865114727565 - 0.04018236037356936im,-0.2763438789691127 - 0.08104865047822868im,0.32128867744287476 - 0.20709001007296227im
