-0.29452871718314577 - 0.14243349162442745im,0.1217528421670588 + 0.023352964135416574im,0.2050268446318755 + 0.06886225159545192im,0.11594217207173874 + 0.019373068518283337im,-0.22130979794046343 - 0.10732095024142307im,0.11594112776528749 + 0.01937434401428223im,0.20502584354531986 + 0.06886342270227622im,0.12175388263348406 + 0.023351819707566022im,-0.29452869805460086 - 0.1424335874033445im
-0.2960397686056495 - 0.14261520922353418im,0.12205252885746082 + 0.02312809302575373im,0.2057260559186653 + 0.06869725837556737im,0.11625003634560967 + 0.01911327576761105im,-0.2224572756824741 - 0.10752857371564126im,0.1162489776782579 + 0.019114572048468514im,0.2057250408870001 + 0.06869844888811348im,0.12205358433880877 + 0.023126929503144284im,-0.2960397495630458 - 0.14261530623177057im
-0.297561632443134 - 0.14278905111627208im,0.12235101600997227 + 0.022899321398167725im,0.206426216934172 + 0.06852672270591885im,0.11655681825396398 + 0.018849067813944336im,-0.22361399003698107 - 0.10773066132486261im,0.11655574506576176 + 0.01885038524985743im,0.20642518780077587 + 0.06852793297552276im,0.12235208668775474 + 0.022898138428573928im,-0.2975616134934855 - 0.1427891493682898im
-0.2990943738180335 - 0.14295488581855137im,0.12264825549051767 + 0.02266662838593653im,0.20712728972295086 + 0.06835059778684446im,0.11686246854096008 + 0.01858041736189304im,-0.22478000594177933 - 0.10792711108154203im,0.11686138067120946 + 0.018581756329954246im,0.20712624633057067 + 0.06835182817135531im,0.12264934154741998 + 0.022665425610357653im,-0.29909435496845943 - 0.14295498532893552im
-0.30063805822708134 - 0.14311258021212833im,0.12294419850520794 + 0.022429993338341305im,0.2078292356853303 + 0.06816883671229135im,0.11716693724094875 + 0.018307297273879832im,-0.2259553888417019 - 0.10811781964847944im,0.11716583452837716 + 0.01830865815811654im,0.20782817787603752 + 0.06817008757630134im,0.12294530012507647 + 0.022428770390888877im,-0.3006380394849644 - 0.14311268099564123im
-0.30219275153968633 - 0.14326199952720628im,0.12323879559372256 + 0.02218939582913643im,0.20853201556921253 + 0.06798139247562536im,0.11747017367095965 + 0.018029680578458027im,-0.2271402046921144 - 0.10830268232217644im,0.11746905595361734 + 0.018031063770042332im,0.2085309431845723 + 0.06798266419047537im,0.12323991296152145 + 0.022188152336890782im,-0.3021927329126959 - 0.14326210159869793im
-0.30375851999743814 - 0.1434030073247369im,0.12353199662250584 + 0.0219448156652573im,0.20923558946226306 + 0.06778821797548505im,0.11777212642274282 + 0.017747540478751912im,-0.22833451995975465 - 0.10848159301654003im,0.11777099353818153 + 0.017748946376057305im,0.20923450234323984 + 0.06778951091949008im,0.12353312992429714 + 0.02194355124815024im,-0.30375850149345024 - 0.143403110699247im
-0.30533543021383214 - 0.14353546547866508im,0.12382375077820652 + 0.021696232895714793im,0.2099399167839059 + 0.06758926602206658im,0.1180727433551946 + 0.01746085036117342im,-0.22953840162598108 - 0.10865444424606535im,0.11807159514033368 + 0.017462279370001044im,0.20993881477098864 + 0.0675905805805253im,0.12382490020109967 + 0.021694947166362496im,-0.3053354118407196 - 0.1435355701713569im
-0.30692354917228976 - 0.14365923415822535im,0.12411400656077923 + 0.021443627820650533im,0.21064495627717797 + 0.06738448934328074im,0.118371971586336 + 0.01716958380433124im,-0.23075191718840182 - 0.1088211271091306im,0.1183708078776665 + 0.01717103633795652im,0.21064383921036378 + 0.06738582590870046im,0.12411517229291222 + 0.02144232038424158im,-0.3069235309381563 - 0.14365934018443346im
-0.30852294422622994 - 0.1437741718099172im,0.12440271177687036 + 0.021186981000702147im,0.21135066600085506 + 0.06717384059140727im,0.11866975748567424 + 0.01687371458815157im,-0.23197513466374245 - 0.10898153127097336im,0.11866857811924406 + 0.01687519106749236im,0.21134953371976567 + 0.06717519956360068im,0.12440389400737152 + 0.02118565145485665im,-0.30852292613952964 - 0.14377427918510177im
-0.31013368309736317 - 0.14388013513960413im,0.12468981353304097 + 0.020926273266487088im,0.2120570033213325 + 0.0669572723497784im,0.11896604666635244 + 0.01657321670316326im,-0.23320812258925966 - 0.10913554494670286im,0.11896485147781757 + 0.016574717556923146im,0.21205585566518542 + 0.06695865413599528im,0.12469101245198683 + 0.0209249212011047im,-0.3101336651666023 - 0.14388024387940204im
-0.311755833875212 - 0.14397697909433008im,0.12497525822917158 + 0.02066148572824077im,0.2127639249045235 + 0.0667347371397817im,0.1192607839772064 + 0.016268064360119395im,-0.2344509500253202 - 0.10928305488416576im,0.11925957280188246 + 0.01626959002491172im,0.21276276171223646 + 0.06673614215485178im,0.12497647402754841 + 0.020660110725354376im,-0.31175581610921577 - 0.14397708921451052im
-0.3133894650154582 - 0.1440645568442466im,0.12525899155155845 + 0.020392599785860676im,0.21347138670782637 + 0.066506187427949im,0.119553913495086 + 0.015958231999711688im,-0.23570368655822188 - 0.10942394634640389im,0.11955268616798456 + 0.015959782920239446im,0.21347020781804935 + 0.06650761609438904im,0.12526022442121765 + 0.020391201419497008im,-0.3133894474231147 - 0.14406466836075166im
