-12.76709044219354 + 0.9256556839969846im,-33.22991812058804 - 0.1933153599772342im,37.722794390358196 + 0.1276195174991788im,-10.079768978729529 + 0.9347839555671765im
-12.767099513686505 + 0.9342298973652048im,-33.22999921861002 - 0.19510621180030527im,37.72287251912322 + 0.12880183614310461im,-10.079776775760186 + 0.9434428115997298im
-12.767108753983985 + 0.9428835439443048im,-33.23008182614095 - 0.19691366003604488im,37.722952102088705 + 0.1299951135667199im,-10.07978471786584 + 0.9521818874810057im
-12.767118166226473 + 0.9516173599423475im,-33.23016597128292 - 0.1987378586617149im,37.72303316632548 + 0.1311994514942663im,-10.079792807745166 + 0.9610019267798846im
-12.767127753613257 + 0.9604320884000571im,-33.23025168266132 - 0.20057896308794276im,37.72311573940844 + 0.13241495259872604im,-10.079801048147209 + 0.9699036799678776im
-12.767137519403176 + 0.9693284792540409im,-33.23033898943454 - 0.20243713017238388im,37.72319984942613 + 0.13364172051027867im,-10.079809441871896 + 0.9788879044837365im
-12.76714746691558 + 0.9783072894014244im,-33.23042792130428 - 0.20431251823296326im,37.72328552498996 + 0.13487985982563858im,-10.079817991771616 + 0.9879553647980545im
-12.767157599531608 + 0.9873692827644955im,-33.23051850852504 - 0.2062052870620639im,37.72337279524409 + 0.136129476117148im,-10.079826700751397 + 0.9971068324791944im
-12.76716792069511 + 0.996515230356189im,-33.23061078191505 - 0.2081155979398466im,37.72346168987562 + 0.13739067594175405im,-10.079835571770385 + 1.0063430862594533im
-12.767178433914285 + 1.005745910346588im,-33.230704772866495 - 0.2100436136491086im,37.723552239124366 + 0.1386635668506484im,-10.079844607842869 + 1.0156649121017265im
-12.767189142762462 + 1.015062108128856im,-33.23080051335615 - 0.2119894984886414im,37.72364447379322 + 0.13994825739852237im,-10.079853812039117 + 1.0250731032671163im
-12.767200050879401 + 1.0244646163872595im,-33.230898035956365 - 0.2139534182876573im,37.723738425258844 + 0.14124485715312224im,-10.07986318748636 + 1.034568460383174im
-12.76721116197251 + 1.0339542351649473im,-33.23099737384623 - 0.21593554042048965im,37.7238341254822 + 0.14255347670462987im,-10.079872737370145 + 1.0441517915122998im
-12.767222479818368 + 1.0435317719325736im,-33.23109856082273 - 0.21793603382110116im,37.72393160701928 + 0.14387422767576252im,-10.079882464935192 + 1.0538239122215265im
-12.767234008263765 + 1.0531980416575428im,-33.23120163131241 - 0.2199550689976534im,37.724030903032705 + 0.14520722273127104im,-10.079892373486587 + 1.0635856456523967im
-12.767245751226746 + 1.0629538668741398im,-33.23130662038313 - 0.22199281804716206im,37.72413204730222 + 0.14655257558769183im,-10.079902466390793 + 1.073437822591716im
-12.767257712698528 + 1.072800077753744im,-33.23141356375571 - 0.22404945467103973im,37.724235074237356 + 0.14791040102376388im,-10.079912747076767 + 1.0833812815429358im
-12.767269896744438 + 1.0827375121765228im,-33.231522497816606 - 0.22612515418996315im,37.724340018887894 + 0.14928081489019399im,-10.079923219037402 + 1.0934168687984092im
