23.758769428979853 - 1.1408386161507957im,-10.805449794776491 + 6.868528654226477im,87.87227250230504 - 10.030057056572854im,-129.19052305298848 + 17.58143438863558im
23.849727405450107 - 1.1270461268394938im,-11.67338105830823 + 6.778679154421619im,87.24780624778613 - 9.825861422997813im,-125.0184599077488 + 16.528219983533383im
23.93846506769464 - 1.11295862677124im,-12.524192429388101 + 6.6889342668564185im,86.63952781520898 - 9.628268606378507im,-120.9554601511027 + 15.513327916521655im
24.025055122261243 - 1.0985943988683167im,-13.358390526656507 + 6.599380469363924im,86.04687243896403 - 9.436980785668725im,-116.99774888055093 + 14.534997980630326im
24.10956699459346 - 1.0839704634635874im,-14.176460093156365 + 6.510097206306806im,85.4693013257676 - 9.251716806216331im,-113.14172313838117 + 13.5915707355289im
24.19206701621594 - 1.0691026705178144im,-14.978865231089111 + 6.421157432201021im,84.90630019151638 - 9.07221106534638im,-109.3839421904611 + 12.68148066182497im
24.272618599251665 - 1.0540057842523922im,-15.766050552884856 + 6.332628109542418im,84.35737789498951 - 8.898212484881757im,-105.72111845237565 + 11.803249853102827im
24.351282399219116 - 1.0386935609293533im,-16.53844225507251 + 6.244570665158631im,83.8220651614245 - 8.729483562602354im,-102.15010901481772 + 10.95548219696158im
24.428116467042496 - 1.0231788203588195im,-17.29644912095042 + 6.157041408859185im,83.29991338893248 - 8.565799495994636im,-98.66790772212153 + 10.136858002715371im
24.503176391075822 - 1.0074735117226628im,-18.040463457481717 + 6.070091917839486im,82.79049353174709 - 8.40694737193158im,-95.27163776313363 + 9.346129036635269im
24.576515429899512 - 0.991588774214594im,-18.770861971367395 + 5.983769389929695im,82.29339505460321 - 8.252725416720914im,-91.95854473634829 + 8.582113929884684im
24.648184636573824 - 0.9755349929388186im,-19.48800658887265 + 5.898116968467257im,81.80822495308563 - 8.102942301268266im,-88.72599015464709 + 7.843693926870922im
24.718232974986456 - 0.9593218505373446im,-20.192245223592803 + 5.813174041365197im,81.33460683517315 - 7.957416496909923im,-85.57144535769973 + 7.129808946061616im
24.786707428855927 - 0.9429583748117324im,-20.883912495904056 + 5.728976516506868im,80.87218005958803 - 7.815975677604082im,-82.49248580280238 + 6.439453926716117im
24.853653103947828 - 0.9264529827962109im,-21.563330407721253 + 5.6455570756794105im,80.42059892695252 - 7.678456164764339im,-79.48678570711499 + 5.771675438201393im
24.91911332396413 - 0.9098135214972345im,-22.230808975682443 + 5.562945408778085im,79.97953192003254 - 7.544702411196626im,-76.55211301662429 + 5.125568530414885im
24.983129720568577 - 0.8930473056241364im,-22.886646825768096 + 5.4811684300229375im,79.54866098963245 - 7.4145665211026515im,-73.68632467889712 + 4.500273805891158im
25.045742317957306 - 0.8761611525360296im,-23.531131752067992 + 5.400250477653387im,79.12768088302954 - 7.287907803170276im,-70.8873621986473 + 3.8949746958127442im
25.106989612363492 - 0.8591614146578993im,-24.164541242236734 + 5.320213498559609im,78.71629851202947 - 7.164592354207859im,-68.15324745676067 + 3.308894923719655im
