264.31615355051 + 0.5067334752133027im,-92.17581972287088 - 0.10800598701909164im,18.839761483891156 + 0.035718960077090106im,-252.7095810372603 - 0.0028380427818833986im
264.31615494293675 + 0.5102477469332642im,-92.17581987094881 - 0.10875502443241658im,18.83976157731184 + 0.035966676967400274im,-252.70958104725977 - 0.0028577183670314152im
264.3161563547435 + 0.5137863906463211im,-92.17582002108779 - 0.10950925652838242im,18.839761672032846 + 0.03621611182387398im,-252.70958105739737 - 0.0028775302657162182im
264.31615778620073 + 0.5173495753757581im,-92.17582017331657 - 0.11026871933291815im,18.839761768072382 + 0.03646727656089447im,-252.70958106767588 - 0.0028974794203437226im
264.3161592375813 + 0.5209374713170917im,-92.17582032766411 - 0.11103344912172494im,18.839761865448633 + 0.036720183175850865im,-252.70958107809642 - 0.0029175667798604626im
264.3161607091629 + 0.5245502498461813im,-92.17582048415986 - 0.1118034824220756im,18.839761964180315 + 0.03697484374901887im,-252.7095810886613 - 0.0029377932996514818im
264.3161622012264 + 0.5281880835274279im,-92.17582064283381 - 0.11257885601468963im,18.839762064286212 + 0.03723127044470487im,-252.7095810993726 - 0.002958159941694736im
264.31616371405715 + 0.5318511461219978im,-92.17582080371622 - 0.11335960693491726im,18.839762165785576 + 0.037489475511660826im,-252.7095811102321 - 0.0029786676745769828im
264.31616524794384 + 0.5355396125959963im,-92.17582096683792 - 0.11414577247546864im,18.839762268697722 + 0.03774947128326425im,-252.7095811212424 - 0.0029993174735902057im
264.31616680318 + 0.5392536591291023im,-92.17582113223007 - 0.11493739018740506im,18.839762373042355 + 0.03801127017864763im,-252.7095811324045 - 0.0030201103205954225im
264.31616838006227 + 0.5429934631227035im,-92.17582129992408 - 0.1157344978822806im,18.839762478839454 + 0.03827488470308578im,-252.70958114372175 - 0.003041047204322671im
264.31616997889245 + 0.5467592032085882im,-92.1758214699523 - 0.11653713363394431im,18.839762586109153 + 0.038540327448620675im,-252.70958115519525 - 0.0030621291202296546im
264.3161715999758 + 0.5505510592572659im,-92.17582164234697 - 0.11734533578005717im,18.839762694871947 + 0.038807611094475204im,-252.7095811668278 - 0.003083357070645358im
264.316173243622 + 0.5543692123868418im,-92.17582181714111 - 0.11815914292442015im,18.839762805148638 + 0.03907674840798822im,-252.70958117862133 - 0.0031047320646725297im
264.3161749101451 + 0.5582138449712468im,-92.17582199436818 - 0.11897859393844037im,18.83976291696036 + 0.0393477522447301im,-252.70958119057835 - 0.003126255118486336im
264.3161765998634 + 0.5620851406495279im,-92.17582217406182 - 0.11980372796319821im,18.839763030328367 + 0.03962063554988221im,-252.70958120270035 - 0.0031479272550534185im
264.31617831309984 + 0.5659832843339683im,-92.17582235625663 - 0.12063458441096984im,18.83976314527445 + 0.039895411357927166im,-252.7095812149904 - 0.0031697495045305674im
264.3161800501819 + 0.5699084622194623im,-92.1758225409873 - 0.12147120296759588im,18.83976326182058 + 0.04017209279427996im,-252.70958122745077 - 0.003191722904071745im
264.31618181144137 + 0.5738608617921599im,-92.1758227282892 - 0.12231362359414408im,18.839763379988796 + 0.040450693075011146im,-252.70958124008325 - 0.003213848497874649im
264.31618359721494 + 0.5778406718383517im,-92.17582291819807 - 0.12316188652856788im,18.83976349980196 + 0.04073122550789794im,-252.70958125289064 - 0.0032361273373990355im
264.31618540784325 + 0.5818480824536858im,-92.17582311075013 - 0.12401603228837067im,18.839763621282852 + 0.04101370349319636im,-252.70958126587522 - 0.0032585604812548014im
264.31618724367263 + 0.5858832850520843im,-92.17582330598216 - 0.1248761016714422im,18.83976374445475 + 0.041298140523844264im,-252.7095812790391 - 0.0032811489953479076im
264.316189105054 + 0.5899464723750262im,-92.17582350393162 - 0.12574213575895898im,18.83976386934108 + 0.041584550186528735im,-252.7095812923856 - 0.003303893952776305im
264.3161909923425 + 0.5940378385006618im,-92.17582370463622 - 0.12661417591709im,18.83976399596578 + 0.041872946162438154im,-252.70958130591637 - 0.003326796434161204im
264.3161929058992 + 0.5981575788529885im,-92.17582390813429 - 0.12749226379855022im,18.839764124353035 + 0.0421633422269192im,-252.70958131963434 - 0.003349857527394231im
