0.40217845805299746 - 0.002045239790445705im,1.095663632641271 - 0.019540043864592425im,-0.1554352683165007 - 0.003855797907184164im,-0.6953754096223858 - 0.010060645574376251im
0.40220629493434357 - 0.0020690601908870186im,1.095752760090906 - 0.019705981800375715im,-0.1554585970732804 - 0.003874242397187889im,-0.6954483603926407 - 0.010104506584821805im
0.40223444427629534 - 0.0020932251840794177im,1.0958428934046827 - 0.019873637620671958im,-0.155482184941891 - 0.003892660736329699im,-0.6955221214590669 - 0.01014819066038255im
0.4022629085849173 - 0.002117740204740997im,1.0959340408156961 - 0.02004303288875396im,-0.1555060339179514 - 0.003911050141661625im,-0.6955966990639647 - 0.01019168845249531im
0.4022916903615676 - 0.0021426107673804466im,1.0960262105468168 - 0.02021418945185789im,-0.15553014598958728 - 0.003929407775471715im,-0.6956720994256397 - 0.010234990437077436im
0.4023207920960579 - 0.002167842467010954im,1.096119410791337 - 0.020387129443484288im,-0.15555452313322823 - 0.003947730744690722im,-0.6957483287266699 - 0.010278086912844387im
0.40235021627170775 - 0.002193440980395856im,1.0962136497266444 - 0.02056187528780545im,-0.15557916731611438 - 0.003966016100123445im,-0.6958253931201333 - 0.010320967998687307im
0.4023799653638059 - 0.002219412066458243im,1.0963089355118583 - 0.02073844970118804im,-0.15560408049528462 - 0.003984260836127594im,-0.695903298728072 - 0.010363623632734369im
0.4024100418324861 - 0.00224576156743984im,1.096405276263132 - 0.02091687569609049im,-0.15562926461291193 - 0.004002461889719508im,-0.6959820516253761 - 0.010406043569510498im
0.40244044813017027 - 0.0022724954093362587im,1.0965026800795712 - 0.021097176582697275im,-0.15565472160040394 - 0.0040206161403792675im,-0.6960616578540818 - 0.010448217379364546im
0.40247118669472015 - 0.0022996196030134228im,1.09660115501947 - 0.021279375972873618im,-0.15568045337412978 - 0.004038720409206367im,-0.6961421234086326 - 0.010490134445672483im
0.4025022599502061 - 0.0023271402450005647im,1.0967007091042846 - 0.021463497782824165im,-0.15570646183527606 - 0.004056771458372251im,-0.696223454236242 - 0.010531783963207801im
0.4025336703044566 - 0.0023550635179778964im,1.0968013503112362 - 0.02164956623483773im,-0.1557327488684089 - 0.0040747659907804665im,-0.6963056562326394 - 0.010573154937126837im
0.4025654201522825 - 0.0023833956917725533im,1.0969030865818636 - 0.021837605861118225im,-0.15575931634278306 - 0.004092700649438697im,-0.6963887352450849 - 0.01061423618070521im
0.4025975118689457 - 0.0024121431245245372im,1.0970059258037266 - 0.022027641507272572im,-0.15578616610810436 - 0.004110572016602242im,-0.696472697060365 - 0.010655016312968574im
0.4026299478123123 - 0.0024413122624353076im,1.0971098758154216 - 0.02221969833222889im,-0.1558132999956005 - 0.004128376613951071im,-0.6965575474071313 - 0.010695483758969004im
0.4026627303192821 - 0.002470909641583528im,1.0972149443970076 - 0.02241380181395359im,-0.15584071981545453 - 0.0041461109013804145im,-0.696643291948706 - 0.010735626746169928im
0.4026958617084827 - 0.002500941888166427im,1.097321139277492 - 0.02260997775081146im,-0.15586842735791026 - 0.004163771276868266im,-0.6967299362859868 - 0.010775433303847691im
0.4027293442747224 - 0.002531415719258964im,1.0974284681175615 - 0.022808252264132717im,-0.15589642438980783 - 0.004181354075929883im,-0.6968174859465955 - 0.01081489126143369im
0.40276318028809277 - 0.002562337943497876im,1.0975369385077292 - 0.023008651800643796im,-0.1559247126534513 - 0.004198855571130407im,-0.6969059463818181 - 0.010853988247027163im
0.40279737199912563 - 0.002593715462039045im,1.0976465579837498 - 0.023211203135993667im,-0.15595329386939868 - 0.004216271971626105im,-0.6969953229748969 - 0.010892711685796704im
0.40283192162717835 - 0.002625555269129452im,1.0977573339905287 - 0.023415933376732912im,-0.15598216972913276 - 0.00423359942259062im,-0.6970856210182277 - 0.010931048798284647im
0.40286683136591717 - 0.0026578644525494023im,1.0978692738997697 - 0.02362286996210693im,-0.15601134189778001 - 0.004250834005045053im,-0.6971768457220222 - 0.010968986599802805im
0.4029021033830956 - 0.0026906501947852285im,1.0979823850090051 - 0.02383204066812591im,-0.15604081201371967 - 0.0042679717351625564im,-0.6972690022129558 - 0.011006511898224167im
0.4029377398125633 - 0.0027239197731979336im,1.098096674516295 - 0.0240434736083847im,-0.1560705816833615 - 0.004285008564051537im,-0.6973620955175637 - 0.011043611293301031im
0.40297374275844006 - 0.002757680560991219im,1.0982121495347101 - 0.0242571972374743im,-0.1561006524830896 - 0.004301940377234732im,-0.6974561305691133 - 0.01108027117503855im
0.403010114291554 - 0.002791940027698993im,1.0983288170794991 - 0.024473240352986207im,-0.1561310259566917 - 0.004318762994342411im,-0.697551112198551 - 0.011116477722617653im
0.40304685644943544 - 0.0028267057399909597im,1.0984466840696399 - 0.024691632098273096im,-0.15616170361516338 - 0.004335472168682779im,-0.6976470451346921 - 0.0111522169031212im
0.40308397123212375 - 0.0028619853617572123im,1.0985657573143772 - 0.024912401963125393im,-0.1561926869332821 - 0.004352063587103124im,-0.6977439339933058 - 0.011187474471063788im
0.40312146060451876 - 0.002897786655400183im,1.0986860435200299 - 0.02513557978832524im,-0.1562239773510255 - 0.004368532869375565im,-0.697841783281188 - 0.01122223596636322im
0.4031593264890894 - 0.002934117481694798im,1.0988075492685065 - 0.02536119576535338im,-0.15625557626835299 - 0.004384875568151192im,-0.6979405973804974 - 0.011256486714331479im
0.4031975707691042 - 0.002970985800788095im,1.098930281025994 - 0.025589280440162034im,-0.15628748504690765 - 0.004401087168513918im,-0.6980403805532419 - 0.011290211824088146im
0.4032361952878393 - 0.003008399672542833im,1.0990542451423164 - 0.025819864714587946im,-0.15631970500896197 - 0.0044171630878498645im,-0.6981411369390663 - 0.01132339618819811im
0.4032752018407258 - 0.003046367257110569im,1.0991794478250383 - 0.026052979848348305im,-0.1563522374320515 - 0.004433098675394292im,-0.6982428705374423 - 0.011356024481318222im
0.4033145921809827 - 0.003084896815175072im,1.0993058951573327 - 0.026288657460642007im,-0.1563850835521697 - 0.004448889212347723im,-0.6983455852179381 - 0.011388081160291295im
0.40335436801227753 - 0.003123996708481113im,1.0994335930765988 - 0.026526929531695782im,-0.15641824455870604 - 0.004464529911494057im,-0.6984492847052234 - 0.011419550463267479im
0.40339453099247274 - 0.003163675400648348im,1.0995625473845563 - 0.026767828406178567im,-0.15645172159589743 - 0.004480015916883589im,-0.6985539725824461 - 0.011450416408385785im
0.403435082723551 - 0.0032039414570832923im,1.099692763716124 - 0.027011386793091233im,-0.1564855157568891 - 0.004495342303865923im,-0.6986596522730945 - 0.01148066279402028im
0.4034760247591383 - 0.0032448035452233453im,1.0998242475642874 - 0.027257637767052117im,-0.15651962808699932 - 0.0045105040791727415im,-0.6987663270516419 - 0.011510273198980367im
0.40351735859730997 - 0.0032862704352358066im,1.0999570042561948 - 0.027506614770966505im,-0.15655405957940668 - 0.004525496180567865im,-0.698874000029449 - 0.011539230981348268im
0.40355908567858295 - 0.003328351000582463im,1.1000910389478995 - 0.02775835161812515im,-0.15658881117308243 - 0.004540313476550782im,-0.6989826741486155 - 0.011567519277592156im
0.4036012073880562 - 0.0033710542174581683im,1.1002263566310777 - 0.028012882490976814im,-0.15662388375367073 - 0.0045549507669910136im,-0.6990923521848014 - 0.011595121004491511im
0.403643725048403 - 0.00341438916588947im,1.100362962110445 - 0.028270241945027516im,-0.1566592781486373 - 0.004569402782450318im,-0.6992030367316461 - 0.011622018856983437im
0.40368663992296855 - 0.0034583650291147476im,1.1005008600149198 - 0.0285304649073143im,-0.15669499512862328 - 0.004583664184848908im,-0.6993147302056766 - 0.011648195310244167im
0.40372995320817995 - 0.0035029910945327284im,1.1006400547730297 - 0.028793586679878445im,-0.15673103540226713 - 0.004597729566924009im,-0.6994274348296122 - 0.011673632617965873im
0.40377366603795406 - 0.0035482767536233898im,1.100780550626738 - 0.02905964293996406im,-0.15676739961825462 - 0.004611593452628933im,-0.6995411526388116 - 0.011698312813577236im
0.4038177794764499 - 0.003594231501566728im,1.10092235160945 - 0.02932866973935531im,-0.15680408836045792 - 0.004625250297394554im,-0.6996558854663121 - 0.011722217711025662im
0.4038622945185768 - 0.0036408649380924364im,1.1010654615474729 - 0.02960070350744781im,-0.15684110214757074 - 0.004638694487938684im,-0.6997716349415263 - 0.011745328904177189im
0.4039072120873696 - 0.0036881867670646466im,1.1012098840520175 - 0.02987578105040165im,-0.15687844143094648 - 0.004651920342665617im,-0.6998884024836506 - 0.01176762776809863im
0.4039525330328584 - 0.0037362067964587424im,1.1013556225154328 - 0.0301539395518725im,-0.15691610659327643 - 0.004664922111978805im,-0.7000061892972557 - 0.011789095459798537im
0.403998258127134 - 0.003784934938454518im,1.1015026800963748 - 0.030435216573317908im,-0.1569540979450902 - 0.004677693978376937im,-0.7001249963616176 - 0.011809712918812793im
0.404044388068356 - 0.00383438120924241im,1.1016510597323663 - 0.03071965005435462im,-0.15699241572651937 - 0.0046902300570014375im,-0.700244824436246 - 0.011829460868622068im
0.40409092347081105 - 0.003884555729275938im,1.1018007641082834 - 0.031007278313845945im,-0.1570310601006063 - 0.0047025243955521635im,-0.700365674039596 - 0.011848319816488118im
0.40413786486935527 - 0.003935468722578444im,1.1019517956713765 - 0.03129814004822508im,-0.15707003115557291 - 0.004714570975176481im,-0.7004875454567776 - 0.011866270056244054im
0.4041852127105472 - 0.003987130517035478im,1.1021041566025584 - 0.03159227433304504im,-0.15710932889852058 - 0.004726363710407823im,-0.7006104387191736 - 0.011883291667998893im
0.40423296735934683 - 0.004039551543495186im,1.1022578488389303 - 0.03188972062066829im,-0.15714895325909212 - 0.004737896450264775im,-0.7007343536168364 - 0.011899364521608505im
0.40428112908870534 - 0.004092742336410906im,1.1024128740390904 - 0.032190518742868636im,-0.15718890408251704 - 0.004749162978003839im,-0.7008592896753312 - 0.011914468275796352im
0.40432969808414243 - 0.004146713532582802im,1.102569233600207 - 0.03249470890746729im,-0.15722918113157003 - 0.004760157012384492im,-0.7009852461634292 - 0.011928582382120448im
0.40437867443362996 - 0.004201475871401034im,1.102726928624678 - 0.032802331699407834im,-0.15726978408006895 - 0.00477087220769929im,-0.7011122220717373 - 0.011941686085183234im
0.404428058133073 - 0.004257040194179246im,1.1028859599384548 - 0.033113428079579926im,-0.1573107125152851 - 0.0047813021547527205im,-0.7012402161208199 - 0.011953758425459498im
0.40447784907917955 - 0.004313417443551311im,1.1030463280677634 - 0.03342803938337992im,-0.15735196593314965 - 0.004791440381511412im,-0.7013692267456106 - 0.011964778241382494im
0.40452804707092577 - 0.004370618663040356im,1.1032080332452048 - 0.03374620731983713im,-0.15739354373840972 - 0.00480128035386637im,-0.7014992520966549 - 0.011974724171776247im
0.40457865180228986 - 0.004428654996826985im,1.1033710753858854 - 0.034067973971630326im,-0.15743544523967587 - 0.0048108154761071125im,-0.7016302900239259 - 0.011983574657224608im
0.40462966286727875 - 0.0044875376888523786im,1.1035354541042208 - 0.03439338179295086im,-0.1574776696515986 - 0.0048200390920623394im,-0.7017623380841963 - 0.011991307943578134im
0.4046810797479805 - 0.0045472780817409466im,1.103701168676326 - 0.03472247360642916im,-0.15752021608716757 - 0.004828944486020963im,-0.7018953935167255 - 0.011997902084998194im
0.4047329018231661 - 0.004607887616693223im,1.1038682180670478 - 0.03505529260376218im,-0.1575630835622357 - 0.004837524883531198im,-0.7020294532573551 - 0.012003334946218051im
0.4047851283570841 - 0.004669377832056692im,1.104036600894934 - 0.035391882341786605im,-0.15760627098796617 - 0.004845773452567055im,-0.7021645139149906 - 0.01200758420624091im
0.40483775849922904 - 0.0047317603634249835im,1.1042063154323998 - 0.03573228674313544im,-0.15764977717014572 - 0.0048536833040356865im,-0.7023005717696155 - 0.012010627360042167im
0.4048907912895215 - 0.0047950469422781816im,1.1043773596206612 - 0.03607655009316102im,-0.15769360081157865 - 0.0048612474933591564im,-0.7024376227793117 - 0.012012441723209462im
0.4049442256423596 - 0.004859249394288467im,1.1045497310217882 - 0.03642471703478668im,-0.15773774050175163 - 0.004868459021677579im,-0.7025756625486769 - 0.012013004435965629im
