2.0385707068898133 + 6.903562333876745im,0.055564267256548214 + 0.2978585423377033im,0.05568524122841614 + 0.2547651988066081im,0.056210624077318264 + 0.2829324623492579im,2.0437347343277374 + 6.899657206286934im,0.05863233316869454 + 0.2800171269084139im,0.056854906080226385 + 0.25976600017514845im,0.059389835577045115 + 0.3001169941158515im,2.0448435144515984 + 6.902740840384796im
2.0388668093261684 + 6.935292290437478im,0.055883075563501694 + 0.29907381132180927im,0.055997183938371636 + 0.2557865167206337im,0.05651468093297281 + 0.2840818668428593im,2.0440642715126196 + 6.931355560964074im,0.05895458946924815 + 0.2811498492266374im,0.05718601469981182 + 0.2608074205796438im,0.05974851739568575 + 0.3013360806002502im,2.0451973157054444 + 6.9344571105365205im
2.0391646035816944 + 6.967167869793556im,0.056203723717649506 + 0.30029368563964615im,0.05631096081515125 + 0.25681159813328686im,0.056820489231758864 + 0.2852356480912341im,2.0443957309086738 + 6.963199294305018im,0.05927876092860276 + 0.28228683507702207im,0.05751911355475352 + 0.26185263424815886im,0.06010938046469255 + 0.30255968404164174im,2.045553310671225 + 6.966318800446393im
2.039464099006974 + 6.999189738258543im,0.056526221864096005 + 0.3015181796405334im,0.05662658242422182 + 0.25784045353976565im,0.057128058830937314 + 0.28639381954776066im,2.0447291233684104 + 6.995189070479803im,0.05960485880193742 + 0.2834280968009259im,0.057854214287025786 + 0.262901651301712im,0.060472437570368465 + 0.30378781720421655im,2.0459115127322107 + 6.998326573732848im
2.039765304992786 + 7.031358565177388im,0.056850580191919645 + 0.3027473076871014im,0.05694405937965249 + 0.25887309342874487im,0.05743739962837041 + 0.28755639467621263im,2.0450644597882546 + 7.027325556672201im,0.05993289439460027 + 0.2845736467375195im,0.05819132859479886 + 0.26395448184749365im,0.06083770156130381 + 0.305020492844234im,2.046271935340292 + 7.030481097011426im
2.0400682309710447 + 7.063675022939541im,0.057176808934302104 + 0.30398108415497793im,0.05726340234422744 + 0.25990952828194674im,0.05774852156300846 + 0.28872338695048627im,2.0454017511114135 + 7.059609423091617im,0.0602628790626192 + 0.285723497223377im,0.05853046823231203 + 0.26501113597828346im,0.06120518534820294 + 0.3062577237094238im,2.046634592015073 + 7.06278303990859im
2.0403728864130914 + 7.096139786993644im,0.0575049183681538 + 0.305219523432438im,0.05758462202919737 + 0.26094976857364055im,0.0580614346146263 + 0.28989480985428673im,2.0457410083267535 + 7.092041342987326im,0.06059482421247844 + 0.28687766059201497im,0.05887164501005586 + 0.2660716237719225im,0.061574901904135754 + 0.30749952253841195im,2.04699949634527 + 7.095233075074299im
2.0406792808318728 + 7.128753535860065im,0.05783491881447429 + 0.3064626399200975im,0.057907729194555176 + 0.2619938247702331im,0.058376148803729044 + 0.2910706768808148im,2.0460822424685805 + 7.124621992662209im,0.060928741301051914 + 0.2880361491734429im,0.05921487079463099 + 0.26713595529071615im,0.0619468642643458 + 0.30874590206010827im,2.047366661987761 + 7.127831878195948im
2.0409874237795407 + 7.161516951146094im,0.05816682063783755 + 0.3077104480305522im,0.05823273464868183 + 0.2630417073297477im,0.058692674191405204 + 0.2922510015324566im,2.046425464616199 + 7.1573520514867095im,0.06126464183549499 + 0.2891989752937033im,0.059560157508676735 + 0.2682041405808565im,0.0623210855261608 + 0.309996874993103im,2.0477361026672107 + 7.160580128012069im
2.041297324849956 + 7.19443071755843im,0.058500634246800694 + 0.30896296218806485im,0.05855964924865657 + 0.26409342670140773im,0.059011020879731195 + 0.29343579732049146im,2.046770685896377 + 7.190232201911214im,0.06160253737366916 + 0.29036615127443643im,0.05990751713117249 + 0.2692761896718914im,0.06269757884940573 + 0.31125245404507984im,2.0481078321784185 + 7.193478506324523im
2.0416089936761197 + 7.2274955229185665im,0.05883637009335405 + 0.3102201968281978im,0.058888483899871606 + 0.2651489933251085im,0.05933119901084636 + 0.29462507776473545im,2.047117917478808 + 7.223263129482416im,0.06194243952326283 + 0.29153768943237596im,0.060256961696915086 + 0.27035211257606384im,0.06307635745570216 + 0.3125126519121672im,2.048481864382734 + 7.226527698014119im
2.041922439931823 + 7.260712058175895im,0.059174038673158916 + 0.31148216639749055im,0.05921924955621691 + 0.26620841763097736im,0.059653218767699606 + 0.2958188563932591im,2.047467170580447 + 7.2564455228547455im,0.0622843599425556 + 0.2927136020789213im,0.0606085032970429 + 0.27143191928780586im,0.06345743462918993 + 0.31377748127835564im,2.048858213212097 + 7.259728391051947im
2.0422376733303587 + 7.294081017422528im,0.059513650525226225 + 0.3127488853530938im,0.05955195721985574 + 0.26727171003885714im,0.05997709037338126 + 0.2970171467420427im,2.0478184564623634 + 7.289780073806076im,0.06262831033978634 + 0.2938939015196367im,0.06096215407851602 + 0.27251561978307676im,0.06384082371583084 + 0.3150469548148434im,2.049236892665552 + 7.293081276515067im
2.042554703626297 + 7.327603097906379im,0.05985521623217451 + 0.3140203681624419im,0.05988661794142084 + 0.2683388809578638im,0.06030282409124272 + 0.2982199623546574im,2.048171786430812 + 7.3232674772511475im,0.06297430247330074 + 0.2950786000537874im,0.061317926244308825 + 0.27360322401879345im,0.0642265381236836 + 0.3163210851794186im,2.04961791681096 + 7.326587048599271im
2.0428735406130376 + 7.361279000046815im,0.06019874641967626 + 0.3152966293028762im,0.060223242819619806 + 0.2694099407858423im,0.06063043022493421 + 0.2994273167819471im,2.0485271718378586 + 7.356908431255245im,0.06332234815161461 + 0.2962677099738639im,0.06167583205333011 + 0.27469474193222704im,0.06461459132281219 + 0.31759988501582476im,2.0500012997847916 + 7.360246404633038im
2.043194194123892 + 7.395109427448257im,0.06054425175657521 + 0.31657768326129876im,0.0605618430013236 + 0.2704848999088956im,0.06095991911802754 + 0.3006392235816836im,2.0488846240798577 + 7.390703637049184im,0.0636724592330659 + 0.2974612435650869im,0.06203588382038 + 0.275790183440393im,0.06500499684523926 + 0.3188833669531181im,2.0503870557922044 + 7.394060045091319im
2.0435166740323996 + 7.429095086914348im,0.06089174295484942 + 0.31786354453381854im,0.06090242968154362 + 0.27156376870089216im,0.06129130115393566 + 0.30185569631823445im,2.049244154597523 + 7.424653799043452im,0.06402464762576368 + 0.2986592131049172im,0.06239809391608394 + 0.2768895584394372im,0.06539776828487878 + 0.3201715436050221im,2.0507751991070085 + 7.428028673609504im
2.043840990251905 + 7.463236688462587im,0.061241230769430346 + 0.31915422762538886im,0.06124501410330058 + 0.27264655752295835im,0.06162458675599539 + 0.3030767485622375im,2.049605774876863 + 7.458759624841926im,0.06437892528769057 + 0.29986163086257284im,0.06276247476675591 + 0.2779928768040054im,0.0657929192973687 + 0.3214644275692692im,2.0511657440711737 + 7.462152996997672im
2.044167152735055 + 7.497534945339067im,0.061592725998003396 + 0.3204497470494355im,0.06158960755747949 + 0.27373327672295744im,0.061959786387192683 + 0.30430239389025465im,2.049969496448273 + 7.493021825256684im,0.06473530422645837 + 0.301068509098525im,0.0631290388542884 + 0.2791001483866189im,0.06619046359994377 + 0.32276203142694604im,2.051558705094548 + 7.496433725254785im
2.044495171473517 + 7.531990574033127im,0.061946239480839216 + 0.3217501173274892im,0.06193622138270421 + 0.27482393663497817im,0.06229691055001867 + 0.3055326458844316im,2.0503353308863344 + 7.527441114322514im,0.06509379649918633 + 0.3022798600639984im,0.06349779871627641 + 0.28021138301707027im,0.06659041497162786 + 0.32406436774183617im,2.051954096656333 + 7.530871571581956im
2.044825056498765 + 7.566604294291508im,0.06230178210083258 + 0.3230553529888263im,0.06228486696536047 + 0.27591854757883444im,0.06263596978643146 + 0.30676751813215436im,2.0507032898101816 + 7.562018209311081im,0.0654544142124849 + 0.3034956960004645im,0.06386876694573815 + 0.2813265905017673im,0.06699278725287908 + 0.3253714490597497im,2.052351933303668 + 7.565467252397384im
2.045156817881822 + 7.6013768291331445im,0.06265936478333009 + 0.3243654685700921im,0.06263555573946387 + 0.27701711985954447im,0.06297697467751553 + 0.3080070242256956im,2.0510733848823364 + 7.5967538307461275im,0.06581716952214282 + 0.30471602913912715im,0.06424195619107617 + 0.28244578062309755im,0.06739759434556815 + 0.3266832879078448im,2.0527522296520258 + 7.600221487350373im
2.0454904657320108 + 7.636308904864546im,0.0630189984957655 + 0.3256804786149173im,0.06298829918638656 + 0.27811966376678227im,0.06331993584361821 + 0.309251177761879im,2.051445627810035 + 7.631648702417258im,0.06618207463327831 + 0.3059408717004203im,0.06461737915595464 + 0.28356896313878455im,0.06780485021283758 + 0.3279998967939526im,2.053155000385019 + 7.635134999335672im
2.045826010198319 + 7.671401251093848im,0.06338069424778937 + 0.32700039767355193im,0.06334310883494003 + 0.2792261895743808im,0.06366486394389213 + 0.3104999923417127im,2.051820030343492 + 7.6667035513955435im,0.06654914179990887 + 0.3071702358934754im,0.06499504859909 + 0.2846961477812271im,0.06821456887885277 + 0.3293212882058872im,2.053560260253654 + 7.670208514508274im
2.0461634614683435 + 7.706654600746209im,0.06374446309092989 + 0.32832524030247656im,0.0636999962611163 + 0.28033670753978185im,0.06401176967641099 + 0.3117534815700462im,2.0521966042771744 + 7.7019191080474805im,0.06691838332508245 + 0.3084041339156135im,0.06537497733440475 + 0.28582734425688056im,0.06862676442904216 + 0.330647474610769im,2.0539680240782134 + 7.705442762296675im
2.046502829767726 + 7.742069690079034im,0.06411031611834002 + 0.32965502106401584im,0.06405897308788813 + 0.281451227903491im,0.06436066377772019 + 0.3130116590552024im,2.0525753614481634 + 7.737296106050663im,0.06728981156045019 + 0.3096425779518057im,0.06575717823057635 + 0.2869625622455551im,0.06904145100952108 + 0.3319784684543143im,2.0543783067458787 + 7.740838475418738im
