19.499992613945647 + 2.9203309003512294im,-103.08470005092774 + 23.205412056889873im,0.4180004910774862 - 0.3260183687301266im,-151.93332356551778 + 21.713894136217494im
20.043616242992172 + 2.630563949656072im,-101.3918216214463 + 22.225432421001997im,2.2828288289292025 - 0.7170926313375388im,-146.5116513547214 + 20.277647643099026im
20.565378024078317 + 2.35498648236987im,-99.76263073575669 + 21.290085426499537im,4.082069236031382 - 1.084205220130237im,-141.28014846719353 + 18.921879891426848im
21.066346779341963 + 2.0927158992343178im,-98.19407255203086 + 20.39660260577879im,5.818905154655526 - 1.4290956204790068im,-136.22963228251945 + 17.64097363484096im
21.547526587149584 + 1.8429398208884709im,-96.68327477378841 + 19.542432929995698im,7.496321224803375 - 1.753353906197054im,-131.35148913883208 + 16.42978321911456im
22.009861404350946 + 1.604909462597198im,-95.22753485652412 + 18.725222502305567im,9.117118183940303 - 2.0584355680630133im,-126.63763219105536 + 15.283588480141104im
22.454239320364323 + 1.3779337256680093im,-93.82430820660868 + 17.94279642997535im,10.683926493446258 - 2.345674676063111im,-122.08046281461637 + 14.198053766231144im
22.881496474025724 + 1.161373918529684im,-92.47119729274003 + 17.193142612260484im,12.19921881102747 - 2.6162955838458917im,-117.67283522989618 + 13.169191448445952im
23.29242066157228 + 0.9546390322324054im,-91.16594159640267 + 16.47439721704216im,13.66532141651283 - 2.871423355284712im,-113.40802405385077 + 12.19332937088746im
23.687754661904787 + 0.7571815050432216im,-89.90640833277632 + 15.7848316485996im,15.08442468804899 - 3.1120930683839036im,-109.27969451249629 + 11.267081765850852im
24.06819930291151 + 0.5684934192346809im,-88.69058387959973 + 15.122840834339746im,16.45859271589529 - 3.3392581314196255im,-105.28187507457339 + 10.38732322173215im
24.434416290770063 + 0.38810308052756204im,-87.51656585584813 + 14.486932680288275im,17.789772132712518 - 3.5537977280861814im,-101.40893228846237 + 9.551165345916521im
24.787030822115952 + 0.21557193688436754im,-86.38255579716306 + 13.875718564071995im,19.079800231337135 - 3.756523493527185im,-97.6555476258283 + 8.75593581013656im
25.126633997312453 + 0.050491798835345436im,-85.28685237946449 + 13.287904750785428im,20.330412434108002 - 3.9481855096554486im,-94.01669615463216 + 7.999159507394418im
25.453785051430852 - 0.10751767195650194im,-84.22784514582675 + 12.722284630159868im,21.543249171665543 - 4.129477697487966im,-90.48762687997795 + 7.278541581101326im
25.769013418093266 - 0.25881123495797204im,-83.20400869594314 + 12.177731687106832im,22.719862223428933 - 4.301042673927578im,-87.06384460771518 + 6.591952119246107im
26.072820639999424 - 0.4037201295568222im,-82.21389730064377 + 11.653193127208953im,23.86172056699884 - 4.463476132525661im,-83.741093198744 + 5.93741233052355im
26.365682138749836 - 0.5425539429597632im,-81.2561399072317 + 11.147684088311351im,24.97021577919722 - 4.617330800250753im,-80.51534009447852 + 5.313082041453006im
26.648048855452764 - 0.6756023071912515im,-80.32943550440827 + 10.66028237738119im,26.04666702737855 - 4.763120016164198im,-77.38276200551317 + 4.717248373284358im
26.920348772610286 - 0.8031364427784606im,-79.43254881798148 + 10.190123678953928im,27.09232568600204 - 4.901320972251273im,-74.33973166492771 + 4.1483154741542725im
27.18298832683657 - 0.9254105647881588im,-78.56430631128359 + 9.736397187338723im,28.10837961018462 - 5.032377652165234im,-71.3828055573556 + 3.6047951960306417im
27.436353721185675 - 1.0426631650510054im,-77.7235924662058 + 9.298341620156464im,29.095957095030478 - 5.156703499258559im,-68.50871254268053 + 3.085298619075006im
27.680812145008648 - 1.1551181829017223im,-76.90934632302121 + 8.875241575747435im,30.056130546779965 - 5.274683841824982im,-65.7143433009901 + 2.588528337137517im
27.91671290868104 - 1.2629860753741953im,-76.1205582587262 + 8.466424200758727im,30.989919889554898 - 5.386678100222292im,-62.9967405315607 + 2.1132714276942868im
28.144388499837852 - 1.366464796610136im,-75.35626698569794 + 8.071256138067358im,31.89829572924333 - 5.493021797849698im,-60.35308984529362 + 1.658393037961085im
28.364155567196526 - 1.465740695176291im,-74.61555675364066 + 7.6891407284846975im,32.78218229410096 - 5.594028395374291im,-57.7807112948486 + 1.2228305271236823im
28.576315837581898 - 1.5609893370907533im,-73.89755473946077 + 7.31951544208354im,33.642460170015006 - 5.689990965676545im,-55.277051492011964 + 0.8055881097398971im
28.781156971216834 - 1.6523762615249333im,-73.20142861085647 + 6.961849518035738im,34.47996884663001 - 5.781183724992893im,-52.83967626613331 + 0.40573195298302805im
28.978953359972945 - 1.7400576753557115im,-72.52638425066722 + 6.61564179371165im,35.29550908922172 - 5.867863433921492im,-50.466263821532074 + 0.02238568410794814im
29.16996687287212 - 1.8241810922292536im,-71.8716636299662 + 6.28041870589585im,36.08984514988356 - 5.950270680842099im,-48.15459835526478 - 0.34527373009687834im
29.354447552757957 - 1.9048859211213953im,-71.23654281903383 + 5.955732448486078im,36.86370683038067 - 6.028631058648604im,-45.90256410020282 - 0.6980197668625883im
29.532634267750467 - 1.9823040089240527im,-70.6203301260482 + 5.641159273017467im,37.61779140801414 - 6.10315624482058im,-43.70813976108048 - 1.0365798244141515im
29.704755320802263 - 2.056560141115332im,-70.02236435429415 + 5.33629791931381im,38.35276543484801 - 6.174044993615057im,-41.56939331409242 - 1.3616384206870946im
29.871029020387734 - 2.1277725041886817im,-69.44201316933567 + 5.040768165001304im,39.069266419786636 - 6.241484048464519im,-39.48447714296001 - 1.6738401386011834im
30.03166421515002 - 2.196053113144021im,-68.87867156829402 + 4.75420948360357im,39.767904402208266 - 6.305648981717009im,-37.45162348665032 - 1.9737923405328779im
30.186860795047064 - 2.2615082070432937im,-68.33176044408214 + 4.47627980218147im,40.44926342511035 - 6.3667049681766im,-35.469140176102435 - 2.262067672168651im
30.336810161411115 - 2.3242386153015357im,-67.80072523779907 + 4.20665434988101im,41.113902915115425 - 6.424807498338297im,-33.53540663882617 - 2.5392063742980038im
30.481695668061064 - 2.384340097213414im,-67.28503467328534 + 3.945024590127303im,41.762358976037184 - 6.480103036489371im,-31.64887015240066 - 2.8057184188662014im
30.621693035536715 - 2.4419036568801302im,-66.78417956805676 + 3.691097229273481im,42.39514560221197 - 6.532729628544388im,-29.80804232897759 - 3.0620854845181436im
30.756970740259625 - 2.4970158356009904im,-66.29767171546972 + 3.444593295681281im,43.012755817274524 - 6.582817463827938im,-28.011495814673363 - 3.3087627850736947im
30.88769038037622 - 2.549758983521065im,-65.82504283321094 + 3.2052472835463015im,43.61566274361045 - 6.63048939474608im,-26.25786118873105 - 3.546180763179299im
31.014007019860053 - 2.6002115122349694im,-65.3658435736672 + 2.9728063561833076im,44.20432060733681 - 6.675861417871054im,-24.54582404864436 - 3.7747466604699245im
31.136069512317434 - 2.6484481298105367im,-64.91964259206715 + 2.7470296042146236im,44.77916568322343 - 6.719043119619751im,-22.874122268582187 - 3.994845974155559im
31.254020805890228 - 2.694540059680715im,-64.48602566853674 + 2.527687354243181im,45.34061718370199 - 6.760138089498724im,-21.24154341921157 - 4.2068438095011755im
31.36799823047587 - 2.7385552446037686im,-64.06459488048615 + 2.314560524233923im,45.889078095729474 - 6.799244303468936im,-19.646922338062954 - 4.411086136321558im
31.478133768447467 - 2.780558536871098im,-63.65496782212436 + 2.107440021905118im,46.42493596901131 - 6.836454479924921im,-18.089138840435982 - 4.607900957317568im
31.584554309939715 - 2.820611875809023im,-63.25677686799396 + 1.9061261829605578im,46.94856365884656 - 6.871856410418014im,-16.56711556148157 - 4.7975993951330524im
31.68738189370916 - 2.858774453519215im,-62.86966847772112 + 1.710428246102424im,47.4603200265568 - 6.905533267168276im,-15.079815920869155 - 4.980476704490242im
31.786733934487895 - 2.895102869773051im,-62.49330253932433 + 1.5201638621029792im,47.96055060032045 - 6.937563889151091im,-13.626242202019334 - 5.156813215240548im
31.882723437694022 - 2.9296512768148215im,-62.127351748700605 + 1.33515863450456im,48.44958819893901 - 6.96802304844846im,-12.205433738546294 - 5.326875211560803im
