-3.6173497844250755 - 0.8595408955199925im,-8.316096602768646 - 0.45747000344807964im,-0.8413557975307814 - 0.06778367774396056im,4.40100934610319 + 1.4086754288487096im,9.783249407819746 + 1.067073506730996im,1.026367805759111 + 0.19231239036544748im,-0.08659268608563321 + 0.06696746388273761im,-0.22718808339654467 + 0.10702210501450472im,0.14242299403106154 + 0.12422409511840553im
-3.6243892197245775 - 0.8771538078924312im,-8.316698636455035 - 0.4742816404871486im,-0.8416510451041239 - 0.06866565711502433im,4.4092262722861095 + 1.4371622626137532im,9.785375188616396 + 1.0960248331219444im,1.027397287637917 + 0.1949439631571074im,-0.086223754800843 + 0.06734346545348992im,-0.22630500845860368 + 0.10728219399014842im,0.14308503141003406 + 0.12628147033407477im
-3.631834087110649 - 0.895083999827744im,-8.317762301436742 - 0.49143690849870897im,-0.842034032166334 - 0.06960023496398612im,4.417877156992801 + 1.4662310396877825im,9.788020866804503 + 1.1256150420276392im,1.0285307954304082 + 0.19767984695759935im,-0.08587466198894295 + 0.06774309439426404im,-0.22544878330281992 + 0.10757086539120576im,0.14375207056456843 + 0.12838717245025266im
-3.639694814128478 - 0.9133232093890353im,-8.319297887431762 - 0.5089228517863379im,-0.8425072645595312 - 0.07058225655427672im,4.426974192123424 + 1.4958779885113223im,9.791199485125409 + 1.1558349817845157im,1.0297720229962788 + 0.20051514303342463im,-0.08554517221363228 + 0.06816752025312486im,-0.22461888727197374 + 0.10788956224842508im,0.144424778319018 + 0.13054238195238202im
-3.6479815207668547 - 0.9318629568696605im,-8.321315157499855 - 0.5267263870470512im,-0.8430729913545066 - 0.07160649923511533im,4.436529234401323 + 1.5260991873132177im,9.794923501047933 + 1.1866754197864848im,1.0311243947927156 + 0.20344486054614125im,-0.08523502943543604 + 0.06861790708040945im,-0.22381477437378192 + 0.1082397066090142im,0.1451038474711948 + 0.13274827308614115im
-3.656704022311096 - 0.9506945598010619im,-8.323823360610813 - 0.5448343268773985im,-0.8437332066154496 - 0.07266768534474494im,4.4465538080022675 + 1.5568905841734375im,9.799204799400798 + 1.2181270727759987im,1.032591067172812 + 0.20646393092159743im,-0.08494395810004228 + 0.06909541351927435im,-0.22303587514995576 + 0.10862269996119471im,0.14578999601263265 + 0.13500601335201357im
-3.6658718328784894 - 0.9698091472592052im,-8.326831245048956 - 0.5632334017656936im,-0.8444896517430766 - 0.07376049469033782im,4.4570591080334445 + 1.5882480163576171im,9.804054706095785 + 1.2501806355150582im,1.0341749303526975 + 0.20956722175641923im,-0.08467166418278757 + 0.0696011929626408im,-0.22228159844812004 + 0.10903992375589155im,0.1464839663454446 + 0.1373167630400832im
-3.675494169580367 - 0.9891976734594071im,-8.3303470725404 - 0.5819102805802123im,-0.8453438183576774 - 0.0748795765898689im,4.468056004794714 + 1.6201672289082871im,9.809484002810228 + 1.2828268078386016im,1.0358786110022347 + 0.21274955024370734im,-0.08441783618830749 + 0.07013639377200305im,-0.2215513330954387 + 0.10949274001602782im,0.14718652449371633 + 0.13968167480544336im
-3.6855799572602943 - 1.0088509306429199im,-8.334378633001691 - 0.6008515895780953im,-0.8462969516842928 - 0.07601956146527131im,4.479555048760928 + 1.6526438924932625im,9.815502942509427 + 1.3160563201109452im,1.03770447541471 + 0.2160056961043803im,-0.0841821461035612 + 0.07070215955225799im,-0.22084444947268062 + 0.1099824920226559im,0.14789845931292667 + 0.1421018932805528im
-3.696137833760681 - 1.0287595612550382im,-8.338933259813533 - 0.6200439299614547im,-0.8473500544033444 - 0.07717507197682284im,4.49156647622868 + 1.685673620507866im,9.822121265697247 + 1.3498599571074974im,1.039654633212666 + 0.21933041401168768im,-0.08396425030436451 + 0.0712996294784116im,-0.22016030098937997 + 0.11051050506926936im,0.14862058169525805 + 0.1445785547250028im
-3.70717615567473 - 1.0489140694181647im,-8.344017845531315 - 0.6394738940101984im,-0.848503890932207 - 0.07834073369100822im,4.504100215572792 + 1.719251985433531im,9.829348217287926 + 1.384228580350258im,1.0417309415489024 + 0.22271844549951333im,-0.08376379041483717 + 0.07192993866934685im,-0.21949822546092143 + 0.11107808727515224im,0.14935372377277517 + 0.1471127867102251im
-3.718703004537225 - 1.0693048317004603im,-8.349638857944752 - 0.6591280798211286im,-0.849758992101991 - 0.0795111852759481im,4.517165894060286 + 1.753374534450447im,9.837192564000663 + 1.4191531489225504im,1.0439350097614073 + 0.2261645303470694im,-0.08358039411966893 + 0.07259421860461873im,-0.21885754638842153 + 0.11168653044965822im,0.1500987381182089 + 0.1497057078385561im
-3.730726193422719 - 1.0899221071899714im,-8.355802356416588 - 0.6789931046932866im,-0.8511156601973277 - 0.08068108821858232im,4.53077284517681 + 1.7880368043165218im,9.84566261218596 + 1.4546247388064508im,1.0462682044434604 + 0.229663417433371im,-0.08341367592999654 + 0.07329359758016177im,-0.2182375741441852 + 0.11233711099936883im,0.15085649694309314 + 0.15235842749575626im
-3.743253273907735 - 1.1107560468707343im,-8.3625140084215 - 0.699055617187547im,-0.8525739743259485 - 0.08184513606104282im,4.544930116418341 + 1.823234335506232im,9.854766225996945 + 1.4906345607666567im,1.0487316548909755 + 0.2332098750584055im,-0.0832632379025099 + 0.07402920119960597im,-0.21763760706362387 + 0.11303109087136047im,0.15162789129440488 + 0.15507204563578003im
-3.756291543365282 - 1.1317967023132607im,-8.369779106222246 - 0.7193023079053502im,-0.8541337960868074 - 0.08299806315325955im,4.559646477504462 + 1.8589626856250563im,9.86451084582351 + 1.527173976831672im,1.0513262588899952 + 0.2367987007280117im,-0.08312867031347909 + 0.0748021528977487im,-0.21705693244796576 + 0.11376971852591124im,0.15241383024823707 + 0.15784765259802733im
-3.7698480525599165 - 1.153034033682043im,-8.37760258362232 - 0.7397199190220004im,-0.8557947755053332 - 0.08413465292144837im,4.574930428977496 + 1.895217442101633im,9.87490350692161 + 1.5642345154052992im,1.0540526888083226 + 0.2404247304020447im,-0.08300955228748673 + 0.07561357449301244im,-0.21649482747908333 + 0.11455422993228193im,0.1532152401023964 + 0.1606863289553896im
-3.783929613508879 - 1.174457917061506im,-8.385989032734154 - 0.7602952526101285im,-0.8575563572057893 - 0.08524974565199409im,4.590790211141725 + 1.9319942341612069im,9.885950858158063 + 1.6018078850496618im,1.0569113979559508 + 0.24408284720611842im,-0.08290545238239166 + 0.0764645867665427im,-0.21595056005065183 + 0.11538584958275816im,0.15403306356643304 + 0.16358914539379946im
-3.7985428075825562 - 1.196058151112869im,-8.394942720714534 - 0.7810151777995438im,-0.8594177867913452 - 0.08633824579298227im,4.607233813312665 + 1.9692887440950262im,9.897659180816861 + 1.639885986987206im,1.0599026271809915 + 0.2477679896096736im,-0.08281592913118568 + 0.0773563100648579im,-0.21542338951860088 + 0.11626579151916774im,0.15486825895034584 + 0.16655716262211598im
-3.8136939938136156 - 1.2178244630617339im,-8.4044676064159 - 0.8018666368073434im,-0.8613781174029295 - 0.08739512877546587im,4.624268983337276 + 2.0070967178274155im,9.910034407400618 + 1.678460926360503im,1.0630264116676014 + 0.25147515907357365im,-0.08274053154184985 + 0.07828986492454192im,-0.21491256737434672 + 0.11719526036856018im,0.15572179935123454 + 0.16959143131285864im
-3.829389317386904 - 1.2397465140248711im,-8.414567356907817 - 0.8228366498818868im,-0.8634362164281291 - 0.08841544735864079im,4.6419032373523255 + 2.045413974791317im,9.9230821403745 + 1.717525022294869im,1.066282587903264 + 0.2551994271721918im,-0.08267879955598591 + 0.07926637271619486im,-0.21441733784420827 + 0.11817545238300507im,0.15659467183905873 + 0.17269299207282124im
-3.8456347182850186 - 1.2618139036813212im,-8.425245363831664 - 0.8439123191986961im,-0.8655907723341888 - 0.08939433750404718im,4.660143869747956 + 2.084236417121602im,9.936807670801455 + 1.7570708168108076im,1.069670800785603 + 0.2589359421970767im,-0.08263026446766124 + 0.0802869563064909im,-0.21393693841897604 + 0.11920755648116098im,0.15748787664047778 + 0.17586287544440715im
-3.8624359400611232 - 1.2840161742954357im,-8.436504759545217 - 0.8650808317505287im,-0.8678403015967042 - 0.09032702378510149im,4.6789979633059025 + 2.123560038175278im,9.951215996821016 + 1.797091082628869im,1.0731905108371274 + 0.2626799352492099im,-0.08259444930304823 + 0.08135274073625078im,-0.2134706003168822 + 0.12029275528783889im,0.15840242632232837 + 0.17910210193676576im
